UA_Time,Trigger_Direction,HTF_Bullish_Prob_%,Close_Price,In_4h_Bear_FVG,1h_Bearish_Flip,In_4h_Bull_FVG,1h_Bullish_Flip
2015-01-13 15:00:00,Short,25.0,1.51535,1.0,1.0,,
2015-02-11 18:00:00,Short,80.5,1.523,1.0,1.0,,
2015-02-17 14:00:00,Short,55.4,1.53598,1.0,1.0,,
2015-02-20 12:00:00,Long,61.8,1.53697,,,1.0,1.0
2015-03-16 17:00:00,Short,0.0,1.47709,1.0,1.0,,
2015-03-23 12:00:00,Long,25.0,1.48855,,,1.0,1.0
2015-04-23 12:00:00,Long,89.8,1.50015,,,1.0,1.0
2015-04-30 18:00:00,Long,92.7,1.53671,,,1.0,1.0
2015-05-20 14:00:00,Short,24.5,1.55203,1.0,1.0,,
2015-06-10 08:00:00,Long,50.5,1.54181,,,1.0,1.0
2015-06-15 18:00:00,Long,84.1,1.55423,,,1.0,1.0
2015-06-18 11:00:00,Long,93.2,1.58867,,,1.0,1.0
2015-07-17 18:00:00,Long,9.5,1.5632,,,1.0,1.0
2015-07-27 20:00:00,Short,0.0,1.5569,1.0,1.0,,
2015-07-28 12:00:00,Long,50.0,1.55826,,,1.0,1.0
2015-07-31 18:00:00,Short,1.3,1.5607,1.0,1.0,,
2015-08-12 11:00:00,Long,50.0,1.55897,,,1.0,1.0
2015-08-20 14:00:00,Long,88.0,1.56484,,,1.0,1.0
2015-08-24 11:00:00,Long,85.2,1.56687,,,1.0,1.0
2015-09-24 19:00:00,Short,0.0,1.52517,1.0,1.0,,
2015-09-26 00:00:00,Short,0.0,1.51754,1.0,1.0,,
2015-10-08 18:00:00,Long,57.3,1.5295,,,1.0,1.0
2015-10-15 18:00:00,Long,58.3,1.54586,,,1.0,1.0
2015-10-21 20:00:00,Short,51.8,1.54402,1.0,1.0,,
2015-10-28 19:00:00,Long,0.0,1.53275,,,1.0,1.0
2015-11-16 09:00:00,Short,50.0,1.51992,1.0,1.0,,
2015-11-23 17:00:00,Short,43.3,1.51304,1.0,1.0,,
2015-11-25 16:00:00,Short,0.0,1.50886,1.0,1.0,,
2015-12-18 23:00:00,Short,0.0,1.489,1.0,1.0,,
2016-01-04 13:00:00,Short,25.0,1.47685,1.0,1.0,,
2016-01-20 17:00:00,Short,25.0,1.41858,1.0,1.0,,
2016-02-16 11:00:00,Short,0.0,1.44554,1.0,1.0,,
2016-02-17 13:00:00,Short,0.0,1.43108,1.0,1.0,,
2016-02-18 14:00:00,Short,0.0,1.43638,1.0,1.0,,
2016-02-22 01:00:00,Short,50.0,1.42618,1.0,1.0,,
2016-02-25 15:00:00,Short,25.0,1.39544,1.0,1.0,,
2016-03-08 20:00:00,Short,60.9,1.42013,1.0,1.0,,
2016-04-01 11:00:00,Short,25.0,1.43302,1.0,1.0,,
2016-04-12 19:00:00,Long,50.0,1.42429,,,1.0,1.0
2016-04-21 17:00:00,Short,52.4,1.43374,1.0,1.0,,
2016-05-05 12:00:00,Long,21.2,1.45046,,,1.0,1.0
2016-06-06 13:00:00,Short,50.0,1.43876,1.0,1.0,,
2016-06-13 19:00:00,Short,0.0,1.42202,1.0,1.0,,
2016-07-27 18:00:00,Short,0.0,1.31132,1.0,1.0,,
2016-08-19 13:00:00,Long,50.1,1.31412,,,1.0,1.0
2016-08-25 16:00:00,Long,65.9,1.31913,,,1.0,1.0
2016-09-07 14:00:00,Long,45.9,1.33805,,,1.0,1.0
2016-09-27 05:00:00,Long,25.0,1.29833,,,1.0,1.0
2016-09-27 17:00:00,Long,25.0,1.29857,,,1.0,1.0
2016-11-10 11:00:00,Short,36.9,1.23903,1.0,1.0,,
2016-11-22 16:00:00,Long,50.0,1.24299,,,1.0,1.0
2016-11-24 13:00:00,Short,0.0,1.24636,1.0,1.0,,
2016-12-05 01:00:00,Long,77.0,1.26672,,,1.0,1.0
2016-12-09 12:00:00,Short,27.0,1.26126,1.0,1.0,,
