Datetime_Kyiv,Direction,Entry_Price,Asian_Box_Long,Outcome,Hold_Bars,Asian_Box_Short
2000-07-06 12:00:00,Long,1.51,1.0,Loss,8,
2000-08-14 12:00:00,Long,1.5066,1.0,Loss,8,
2000-08-16 12:00:00,Short,1.5047,,Win,8,1.0
2000-09-05 12:00:00,Short,1.456,,Win,8,1.0
2000-09-26 12:00:00,Long,1.4572,1.0,Win,8,
2000-10-02 12:00:00,Long,1.4745,1.0,Loss,8,
2000-10-04 12:00:00,Short,1.4535,,Loss,8,1.0
2000-10-30 11:00:00,Long,1.4581,1.0,Loss,8,
2000-11-16 11:00:00,Short,1.4259,,Win,8,1.0
2000-11-21 11:00:00,Long,1.4269,1.0,Loss,8,
2000-11-29 11:00:00,Long,1.4229,1.0,Win,8,
2000-12-01 11:00:00,Long,1.4373,1.0,Win,8,
2000-12-06 11:00:00,Long,1.4382,1.0,Win,8,
2000-12-15 11:00:00,Long,1.4761,1.0,Loss,8,
2001-01-09 11:00:00,Short,1.4902,,Win,8,1.0
2001-02-08 11:00:00,Long,1.4543,1.0,Loss,8,
2001-02-09 11:00:00,Short,1.443,,Loss,8,1.0
2001-02-20 11:00:00,Short,1.4453,,Win,8,1.0
2001-03-06 11:00:00,Long,1.4667,1.0,Win,8,
2001-03-08 11:00:00,Long,1.4695,1.0,Loss,8,
2001-03-13 11:00:00,Short,1.4575,,Win,8,1.0
2001-03-16 11:00:00,Short,1.4358,,Win,8,1.0
2001-04-04 12:00:00,Short,1.4329,,Loss,8,1.0
2001-04-06 12:00:00,Long,1.4295,1.0,Win,8,
2001-06-13 12:00:00,Long,1.3759,1.0,Win,8,
2001-06-14 12:00:00,Long,1.3898,1.0,Win,8,
2001-06-15 12:00:00,Long,1.4038,1.0,Win,8,
2001-06-18 12:00:00,Long,1.4069,1.0,Loss,8,
2001-06-19 12:00:00,Short,1.3997,,Win,8,1.0
2001-07-03 12:00:00,Short,1.4125,,Win,8,1.0
2001-07-11 12:00:00,Long,1.417,1.0,Loss,8,
2001-07-24 12:00:00,Short,1.4168,,Loss,8,1.0
2001-07-27 12:00:00,Short,1.4252,,Loss,8,1.0
2001-08-21 12:00:00,Long,1.4475,1.0,Win,8,
2001-08-23 12:00:00,Short,1.4462,,Loss,8,1.0
2001-08-24 12:00:00,Short,1.4447,,Win,8,1.0
2001-09-03 12:00:00,Long,1.4542,1.0,Win,8,
2001-10-01 12:00:00,Long,1.4719,1.0,Win,8,
2001-12-03 11:00:00,Long,1.4223,1.0,Win,8,
2002-05-28 12:00:00,Long,1.4599,1.0,Win,8,
2002-09-11 12:00:00,Long,1.5563,1.0,Loss,8,
