Datetime_Kyiv,Direction,Entry_Price,Judas_Long,HTF_Bullish_Prob,Outcome,Hold_Bars,Judas_Short
2000-06-05 14:00:00,Long,1.5124,1.0,50.0,Win,8,
2000-06-06 16:00:00,Long,1.5191,1.0,50.0,Win,8,
2000-06-07 12:00:00,Short,1.5255,,50.0,Win,8,1.0
2000-06-13 12:00:00,Short,1.5137,,25.0,Win,8,1.0
2000-06-14 12:00:00,Short,1.5056,,33.5,Win,8,1.0
2000-06-19 10:00:00,Long,1.5154,1.0,50.0,Loss,8,
2000-06-20 13:00:00,Short,1.5111,,25.0,Loss,8,1.0
2000-06-26 13:00:00,Short,1.4986,,25.0,Loss,8,1.0
2000-06-27 13:00:00,Short,1.499,,0.0,Loss,8,1.0
2000-07-04 10:00:00,Short,1.5128,,34.5,Loss,8,1.0
2000-07-05 12:00:00,Short,1.5145,,48.2,Win,8,1.0
2000-07-10 14:00:00,Short,1.5158,,32.4,Win,8,1.0
2000-07-11 17:00:00,Long,1.515,1.0,50.1,Win,8,
2000-07-12 17:00:00,Long,1.5167,1.0,50.0,Loss,8,
2000-07-18 13:00:00,Short,1.494,,0.0,Loss,8,1.0
2000-07-19 15:00:00,Short,1.4964,,25.0,Loss,8,1.0
2000-07-20 11:00:00,Short,1.4968,,25.0,Loss,8,1.0
2000-07-24 11:00:00,Short,1.5186,,50.0,Win,8,1.0
2000-07-26 17:00:00,Long,1.5179,1.0,73.8,Loss,8,
2000-07-27 17:00:00,Long,1.5161,1.0,82.7,Loss,8,
2000-08-03 12:00:00,Short,1.4947,,25.0,Loss,8,1.0
2000-08-07 11:00:00,Long,1.5059,1.0,50.0,Win,8,
2000-08-09 10:00:00,Long,1.5042,1.0,50.0,Loss,8,
2000-08-10 10:00:00,Short,1.5018,,0.0,Win,8,1.0
2000-08-14 10:00:00,Short,1.5017,,35.7,Loss,8,1.0
2000-08-15 12:00:00,Short,1.5097,,37.3,Win,8,1.0
2000-08-16 12:00:00,Long,1.5047,1.0,59.6,Loss,8,
2000-08-21 10:00:00,Short,1.491,,0.0,Loss,8,1.0
2000-08-28 12:00:00,Short,1.4725,,0.0,Win,8,1.0
2000-08-29 10:00:00,Short,1.4714,,25.0,Win,8,1.0
2000-09-07 11:00:00,Short,1.433,,0.0,Loss,8,1.0
2000-09-11 11:00:00,Short,1.4198,,0.0,Win,8,1.0
2000-09-13 11:00:00,Short,1.4086,,0.0,Loss,8,1.0
2000-09-14 18:00:00,Short,1.4087,,25.0,Win,8,1.0
2000-09-18 12:00:00,Short,1.3994,,25.0,Loss,8,1.0
2000-09-19 18:00:00,Short,1.4068,,0.0,Loss,8,1.0
2000-09-20 11:00:00,Short,1.4099,,50.0,Loss,8,1.0
2000-09-25 13:00:00,Long,1.4624,1.0,71.9,Loss,8,
2000-09-28 11:00:00,Long,1.4647,1.0,92.5,Loss,8,
2000-10-03 11:00:00,Long,1.4661,1.0,64.4,Loss,8,
2000-10-09 10:00:00,Short,1.4474,,0.0,Loss,8,1.0
2000-10-10 18:00:00,Short,1.4488,,25.0,Loss,8,1.0
2000-10-11 11:00:00,Short,1.4591,,25.0,Loss,8,1.0
2000-10-19 12:00:00,Short,1.4452,,50.0,Win,8,1.0
2000-10-23 14:00:00,Short,1.4545,,50.0,Win,8,1.0
2000-10-24 12:00:00,Long,1.4539,1.0,50.0,Loss,8,
2000-10-30 16:00:00,Short,1.4527,,50.0,Win,8,1.0
2000-10-31 11:00:00,Short,1.4474,,50.0,Loss,8,1.0
2000-11-01 11:00:00,Short,1.448,,25.0,Win,8,1.0
2000-11-02 14:00:00,Short,1.4499,,0.0,Win,8,1.0
2000-11-06 12:00:00,Short,1.447,,1.4,Win,8,1.0
2000-11-07 10:00:00,Short,1.4274,,0.3,Loss,8,1.0
2000-11-15 10:00:00,Short,1.4325,,50.0,Win,8,1.0
2000-11-20 14:00:00,Short,1.4245,,25.0,Win,8,1.0
2000-11-21 12:00:00,Short,1.4228,,25.0,Win,8,1.0
2000-11-22 10:00:00,Short,1.4195,,25.0,Win,8,1.0
2000-11-28 14:00:00,Long,1.4213,1.0,50.0,Loss,8,
2000-11-30 10:00:00,Short,1.4229,,50.0,Win,8,1.0
2001-01-02 18:00:00,Long,1.4984,1.0,67.7,Win,8,
2001-01-03 10:00:00,Long,1.5042,1.0,67.5,Win,8,
2001-01-08 12:00:00,Long,1.5036,1.0,83.8,Loss,8,
2001-01-10 10:00:00,Short,1.4875,,28.7,Loss,8,1.0
2001-01-23 13:00:00,Short,1.4709,,0.0,Win,8,1.0
2001-01-29 11:00:00,Short,1.4605,,50.0,Win,8,1.0
2001-01-31 11:00:00,Short,1.4623,,0.0,Win,8,1.0
2001-02-08 11:00:00,Short,1.4543,,3.2,Win,8,1.0
2001-02-12 10:00:00,Short,1.4519,,0.0,Loss,8,1.0
2001-02-13 15:00:00,Short,1.4517,,25.0,Loss,8,1.0
2001-02-14 10:00:00,Short,1.4533,,50.0,Loss,8,1.0
2001-02-15 11:00:00,Short,1.4565,,50.0,Win,8,1.0
2001-02-19 16:00:00,Short,1.449,,25.0,Win,8,1.0
2001-02-22 11:00:00,Short,1.4412,,25.0,Loss,8,1.0
2001-02-27 10:00:00,Short,1.447,,25.0,Win,8,1.0
2001-02-28 16:00:00,Short,1.4415,,0.0,Loss,8,1.0
2001-03-05 14:00:00,Short,1.4696,,46.1,Win,8,1.0
2001-03-06 18:00:00,Short,1.4656,,29.2,Loss,8,1.0
2001-03-12 17:00:00,Long,1.4663,1.0,56.3,Loss,8,
2001-03-14 17:00:00,Short,1.4484,,0.2,Win,8,1.0
2001-03-19 14:00:00,Short,1.4307,,0.0,Win,8,1.0
2001-03-26 12:00:00,Short,1.433,,25.0,Loss,8,1.0
2001-03-28 11:00:00,Long,1.434,1.0,50.0,Win,8,
2001-03-29 14:00:00,Short,1.4382,,0.1,Win,8,1.0
2001-04-04 14:00:00,Short,1.432,,25.0,Loss,8,1.0
2001-04-05 11:00:00,Short,1.4349,,50.0,Win,8,1.0
2001-04-10 15:00:00,Long,1.4431,1.0,58.7,Loss,8,
2001-04-11 10:00:00,Short,1.4338,,37.3,Loss,8,1.0
2001-04-16 16:00:00,Short,1.4334,,38.9,Loss,8,1.0
2001-04-17 10:00:00,Short,1.4398,,29.8,Win,8,1.0
2001-04-19 11:00:00,Short,1.4286,,0.0,Loss,8,1.0
2001-04-23 13:00:00,Long,1.4456,1.0,50.0,Loss,8,
2001-04-24 12:00:00,Short,1.4382,,3.8,Loss,8,1.0
2001-04-26 12:00:00,Short,1.4392,,3.2,Win,8,1.0
2001-04-30 12:00:00,Short,1.435,,31.7,Win,8,1.0
2001-05-03 12:00:00,Short,1.4335,,25.0,Win,8,1.0
2001-05-10 10:00:00,Short,1.4235,,0.0,Win,8,1.0
2001-05-14 15:00:00,Short,1.4182,,0.0,Loss,8,1.0
2001-05-15 10:00:00,Short,1.4192,,25.0,Loss,8,1.0
2001-05-17 10:00:00,Long,1.4298,1.0,50.0,Win,8,
2001-05-21 10:00:00,Short,1.4394,,25.0,Win,8,1.0
2001-05-30 18:00:00,Short,1.4237,,25.0,Loss,8,1.0
2001-06-04 10:00:00,Short,1.4195,,0.0,Win,8,1.0
2001-06-07 12:00:00,Short,1.3888,,0.0,Loss,8,1.0
2001-06-13 10:00:00,Short,1.3725,,0.0,Loss,8,1.0
2001-06-14 12:00:00,Short,1.3898,,50.0,Loss,8,1.0
2001-06-18 14:00:00,Short,1.4028,,50.0,Loss,8,1.0
2001-06-26 10:00:00,Long,1.4138,1.0,58.5,Win,8,
2001-06-27 14:00:00,Short,1.4165,,31.7,Loss,8,1.0
2001-07-02 18:00:00,Short,1.4153,,17.1,Loss,8,1.0
2001-07-05 14:00:00,Short,1.4058,,0.0,Win,8,1.0
2001-07-09 10:00:00,Short,1.4116,,25.0,Win,8,1.0
2001-07-10 11:00:00,Short,1.4094,,25.0,Loss,8,1.0
2001-07-12 10:00:00,Short,1.4074,,25.0,Win,8,1.0
2001-07-17 16:00:00,Short,1.3998,,25.0,Loss,8,1.0
2001-07-23 11:00:00,Long,1.4251,1.0,62.5,Loss,8,
2001-07-25 11:00:00,Long,1.4211,1.0,50.9,Win,8,
2001-07-26 11:00:00,Long,1.4293,1.0,82.2,Loss,8,
2001-07-31 10:00:00,Short,1.4286,,17.7,Win,8,1.0
2001-08-02 14:00:00,Long,1.4342,1.0,55.0,Loss,8,
2001-08-08 10:00:00,Short,1.4175,,0.0,Win,8,1.0
2001-08-13 12:00:00,Short,1.4241,,25.0,Win,8,1.0
2001-08-14 16:00:00,Short,1.4199,,0.0,Loss,8,1.0
2001-08-16 15:00:00,Short,1.4463,,30.1,Win,8,1.0
2001-08-20 11:00:00,Short,1.4457,,40.0,Win,8,1.0
2001-08-27 18:00:00,Short,1.4434,,23.8,Loss,8,1.0
2001-08-29 11:00:00,Short,1.4532,,1.4,Win,8,1.0
2001-09-05 11:00:00,Short,1.442,,5.7,Loss,8,1.0
2001-09-11 13:00:00,Long,1.4561,1.0,58.5,Win,8,
2001-09-18 16:00:00,Short,1.4642,,31.0,Loss,8,1.0
2001-09-20 13:00:00,Long,1.4673,1.0,63.7,Loss,8,
2001-09-26 17:00:00,Short,1.4732,,25.0,Loss,8,1.0
2001-09-27 13:00:00,Short,1.4749,,50.0,Win,8,1.0
2001-10-01 10:00:00,Short,1.4719,,10.8,Loss,8,1.0
2001-10-02 10:00:00,Long,1.4798,1.0,69.1,Loss,8,
2001-10-09 11:00:00,Short,1.4735,,27.9,Win,8,1.0
2001-10-10 10:00:00,Short,1.4588,,0.0,Win,8,1.0
2001-10-22 10:00:00,Short,1.4349,,25.0,Win,8,1.0
2001-10-24 13:00:00,Short,1.4293,,0.0,Loss,8,1.0
2001-10-30 18:00:00,Short,1.455,,25.0,Win,8,1.0
2001-10-31 12:00:00,Short,1.4546,,25.1,Loss,8,1.0
2001-11-05 16:00:00,Long,1.4579,1.0,65.8,Win,8,
2001-11-12 16:00:00,Long,1.4587,1.0,55.3,Loss,8,
2001-11-20 14:00:00,Short,1.4172,,25.0,Loss,8,1.0
2001-11-21 15:00:00,Short,1.4196,,25.0,Win,8,1.0
2001-11-26 16:00:00,Short,1.4147,,25.0,Win,8,1.0
2001-11-28 10:00:00,Short,1.4172,,0.0,Loss,8,1.0
2002-01-07 11:00:00,Short,1.4429,,32.0,Win,8,1.0
2002-01-14 14:00:00,Short,1.4489,,25.0,Loss,8,1.0
2002-01-29 17:00:00,Short,1.4108,,0.0,Loss,8,1.0
2002-01-30 15:00:00,Short,1.4116,,50.0,Loss,8,1.0
2002-02-04 12:00:00,Short,1.4177,,25.0,Loss,8,1.0
2002-02-05 11:00:00,Short,1.4218,,25.0,Win,8,1.0
2002-02-18 12:00:00,Short,1.432,,25.0,Win,8,1.0
2002-02-19 17:00:00,Long,1.4291,1.0,63.5,Win,8,
2002-02-25 10:00:00,Long,1.4313,1.0,84.7,Loss,8,
2002-02-26 17:00:00,Long,1.4263,1.0,54.7,Loss,8,
