Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2000-06-05 14:00:00,50.0,1.5124,Yes,Long,1.0,1.0,Loss,1.5124,1.5104,1.5164,,
2000-06-05 17:00:00,50.0,1.5101,Yes,Long,1.0,1.0,Loss,1.5101,1.5081,1.5141,,
2000-06-08 17:00:00,25.0,1.5101,Yes,Short,,,Loss,1.5101,1.5121,1.5061,1.0,1.0
2000-06-14 10:00:00,60.2,1.5079,Yes,Short,,,Loss,1.5079,1.5099,1.5039,1.0,1.0
2000-06-14 11:00:00,33.5,1.5111,Yes,Short,,,Win,1.5111,1.5131,1.5071,1.0,1.0
2000-06-17 00:00:00,25.0,1.5138,Yes,Short,,,Loss,1.5138,1.5158,1.5098,1.0,1.0
2000-06-19 01:00:00,25.0,1.5138,Yes,Short,,,Loss,1.5138,1.5158,1.5098,1.0,1.0
2000-06-19 12:00:00,50.0,1.5123,Yes,Short,,,Loss,1.5123,1.5143,1.5083,1.0,1.0
2000-06-19 13:00:00,50.0,1.5138,Yes,Short,,,Loss,1.5138,1.5158,1.5098,1.0,1.0
2000-06-28 15:00:00,25.0,1.5067,Yes,Long,1.0,1.0,Loss,1.5067,1.5047,1.5107,,
2000-06-28 16:00:00,25.0,1.5079,Yes,Long,1.0,1.0,Win,1.5079,1.5059,1.5119,,
2000-06-30 17:00:00,50.0,1.5147,Yes,Long,1.0,1.0,Loss,1.5147,1.5127,1.5187,,
2000-06-30 19:00:00,50.0,1.5131,Yes,Long,1.0,1.0,Win,1.5131,1.5111,1.5171,,
2000-07-05 11:00:00,48.2,1.515,Yes,Short,,,Loss,1.515,1.517,1.511,1.0,1.0
2000-07-06 20:00:00,40.8,1.5084,Yes,Short,,,Loss,1.5084,1.5104,1.5044,1.0,1.0
2000-07-11 11:00:00,50.6,1.5145,Yes,Long,1.0,1.0,Loss,1.5145,1.5125,1.5185,,
2000-07-11 17:00:00,50.1,1.515,Yes,Long,1.0,1.0,Loss,1.515,1.513,1.519,,
2000-07-19 10:00:00,25.0,1.4961,Yes,Long,1.0,1.0,Loss,1.4961,1.4941,1.5001,,
2000-07-19 11:00:00,25.0,1.4941,Yes,Long,1.0,1.0,Win,1.4941,1.4921,1.4981,,
2000-07-20 16:00:00,25.0,1.5015,Yes,Long,1.0,1.0,Win,1.5015,1.4995,1.5055,,
