Datetime,Profile_Type,Close_Price,Price_ZScore
2015-01-09 05:00:00-05:00,Bearish Setup Detected,1.51511,2.577148956978344
2015-01-11 17:00:00-05:00,Bearish Setup Detected,1.51908,2.6324772888191528
2015-01-14 08:00:00-05:00,Bearish Setup Detected,1.52566,4.063188498696209
2015-01-16 10:00:00-05:00,Bullish Setup Detected,1.5111,-3.0563009727694923
2015-01-22 10:00:00-05:00,Bullish Setup Detected,1.50849,-2.5469057023381794
2015-01-22 11:00:00-05:00,Bullish Setup Detected,1.50502,-3.481807878728518
2015-01-22 12:00:00-05:00,Bullish Setup Detected,1.5023,-3.821063953888268
2015-01-22 13:00:00-05:00,Bullish Setup Detected,1.50251,-3.251628123456681
2015-01-22 14:00:00-05:00,Bullish Setup Detected,1.50159,-3.0890900516472253
2015-01-22 15:00:00-05:00,Bullish Setup Detected,1.50064,-2.963146514219797
2015-01-22 16:00:00-05:00,Bullish Setup Detected,1.50108,-2.595700163326424
2015-01-26 11:00:00-05:00,Bearish Setup Detected,1.50873,3.189181199520585
2015-01-26 12:00:00-05:00,Bearish Setup Detected,1.50923,3.3247205355687197
2015-01-26 13:00:00-05:00,Bearish Setup Detected,1.50996,3.252087086020389
2015-01-26 15:00:00-05:00,Bearish Setup Detected,1.50979,2.713123964217871
2015-01-27 08:00:00-05:00,Bearish Setup Detected,1.518,2.7864241964988654
2015-01-27 09:00:00-05:00,Bearish Setup Detected,1.51836,2.6352058179964786
2015-01-27 10:00:00-05:00,Bearish Setup Detected,1.52047,2.767210927167532
2015-01-29 10:00:00-05:00,Bullish Setup Detected,1.50765,-3.0824810101264006
2015-01-29 11:00:00-05:00,Bullish Setup Detected,1.50418,-3.6069003152567936
2015-01-29 12:00:00-05:00,Bullish Setup Detected,1.50471,-3.0620506747379155
2015-01-29 13:00:00-05:00,Bullish Setup Detected,1.50452,-2.802294450292554
2015-01-29 14:00:00-05:00,Bullish Setup Detected,1.50471,-2.5246239971932027
2015-02-03 11:00:00-05:00,Bearish Setup Detected,1.51281,2.699056846659992
2015-02-03 12:00:00-05:00,Bearish Setup Detected,1.5159,3.250875076370941
2015-02-03 13:00:00-05:00,Bearish Setup Detected,1.51519,2.7375328429497
2015-02-03 14:00:00-05:00,Bearish Setup Detected,1.51662,2.813743421173268
