Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,BoE_Tone_Shift_Short,Outcome,Entry,SL,TP
2004-02-05 15:00:00,50.1,1.8364,Yes,Short,1,Loss,1.8364,1.8384,1.8324
2004-02-05 17:00:00,50.1,1.8384,Yes,Short,1,Loss,1.8384,1.8404,1.8344
2004-08-05 15:00:00,0.0,1.8211,Yes,Short,1,Loss,1.8211,1.8231,1.8171
2006-08-03 17:00:00,82.5,1.888,Yes,Short,1,Loss,1.888,1.89,1.884
2007-01-11 15:00:00,25.0,1.9476,Yes,Short,1,Win,1.9476,1.9496,1.9436
2007-05-10 16:00:00,50.0,1.984,Yes,Short,1,Loss,1.984,1.986,1.98
2007-05-10 17:00:00,50.0,1.9828,Yes,Short,1,Win,1.9828,1.9848,1.9788
2007-07-05 14:00:00,93.6,2.0143,Yes,Short,1,Loss,2.0143,2.0163,2.0103
2007-07-05 16:00:00,93.4,2.0169,Yes,Short,1,Win,2.0169,2.0189,2.0129
2017-11-02 14:00:00,35.0,1.3221,Yes,Short,1,Loss,1.3221,1.3241,1.3181
2017-11-02 15:00:00,35.0,1.31169,Yes,Short,1,Win,1.31169,1.31369,1.30769
2018-08-02 15:00:00,28.2,1.30455,Yes,Short,1,Win,1.30455,1.30655,1.30055
2021-11-17 15:00:00,25.0,1.34542,Yes,Short,1,Loss,1.34542,1.34742,1.34142
2021-11-17 17:00:00,25.0,1.34645,Yes,Short,1,Loss,1.34645,1.34845,1.34245
2021-12-16 16:00:00,0.0,1.33275,Yes,Short,1,Win,1.33275,1.33475,1.32875
2022-06-22 14:00:00,50.0,1.22501,Yes,Short,1,Loss,1.22501,1.22701,1.22101
2023-06-22 14:00:00,36.5,1.27827,Yes,Short,1,Win,1.27827,1.28027,1.27427
2023-08-03 14:00:00,0.0,1.26605,Yes,Short,1,Loss,1.26605,1.26805,1.26205
2023-08-03 15:00:00,0.0,1.26467,Yes,Short,1,Loss,1.26467,1.26667,1.26067
2023-09-21 15:00:00,0.0,1.22678,Yes,Short,1,Loss,1.22678,1.22878,1.22278
2025-02-06 14:00:00,50.7,1.2374,Yes,Short,1,Loss,1.2374,1.2394,1.2334
