Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,CB_Divergence_Long,Outcome,Entry,SL,TP,CB_Divergence_Short
2004-02-05 14:00:00,50.1,1.8367,Yes,Long,1.0,Win,1.8367,1.8347,1.8407,
2004-08-05 14:00:00,0.0,1.8247,Yes,Long,1.0,Loss,1.8247,1.8227,1.8287,
2004-08-05 15:00:00,0.0,1.8211,Yes,Short,,Loss,1.8211,1.8231,1.8171,1.0
2004-08-10 14:00:00,49.9,1.8366,Yes,Long,1.0,Win,1.8366,1.8346,1.8406,
2004-09-21 14:00:00,2.8,1.7945,Yes,Long,1.0,Loss,1.7945,1.7925,1.7985,
2004-09-21 18:00:00,1.4,1.7927,Yes,Short,,Loss,1.7927,1.7947,1.7887,1.0
2004-11-10 14:00:00,43.9,1.857,Yes,Short,,Loss,1.857,1.859,1.853,1.0
2004-11-10 15:00:00,43.9,1.8561,Yes,Short,,Win,1.8561,1.8581,1.8521,1.0
2004-12-14 14:00:00,50.0,1.9267,Yes,Short,,Loss,1.9267,1.9287,1.9227,1.0
2004-12-14 15:00:00,50.0,1.9248,Yes,Short,,Loss,1.9248,1.9268,1.9208,1.0
2005-02-02 14:00:00,25.3,1.8876,Yes,Long,1.0,Loss,1.8876,1.8856,1.8916,
2005-02-02 16:00:00,25.3,1.8868,Yes,Short,,Win,1.8868,1.8888,1.8828,1.0
2005-03-22 14:00:00,25.0,1.8985,Yes,Short,,Loss,1.8985,1.9005,1.8945,1.0
2005-03-22 16:00:00,25.0,1.9001,Yes,Long,1.0,Loss,1.9001,1.8981,1.9041,
2005-05-03 14:00:00,25.0,1.8906,Yes,Short,,Loss,1.8906,1.8926,1.8866,1.0
2005-05-03 17:00:00,25.0,1.8939,Yes,Long,1.0,Loss,1.8939,1.8919,1.8979,
2005-06-30 14:00:00,0.0,1.7937,Yes,Short,,Win,1.7937,1.7957,1.7897,1.0
2005-08-09 14:00:00,94.7,1.7828,Yes,Short,,Loss,1.7828,1.7848,1.7788,1.0
2005-08-09 16:00:00,94.7,1.7837,Yes,Short,,Loss,1.7837,1.7857,1.7797,1.0
2005-09-20 14:00:00,0.0,1.8052,Yes,Long,1.0,Loss,1.8052,1.8032,1.8092,
2005-11-01 14:00:00,19.7,1.7699,Yes,Long,1.0,Loss,1.7699,1.7679,1.7739,
2005-11-01 15:00:00,19.7,1.7672,Yes,Short,,Win,1.7672,1.7692,1.7632,1.0
2005-12-13 14:00:00,90.2,1.7687,Yes,Long,1.0,Win,1.7687,1.7667,1.7727,
2006-01-31 14:00:00,31.9,1.7717,Yes,Long,1.0,Loss,1.7717,1.7697,1.7757,
2006-01-31 15:00:00,31.9,1.7729,Yes,Long,1.0,Win,1.7729,1.7709,1.7769,
2006-03-28 14:00:00,25.0,1.7497,Yes,Long,1.0,Win,1.7497,1.7477,1.7537,
2006-05-10 14:00:00,45.1,1.862,Yes,Short,,Loss,1.862,1.864,1.858,1.0
2006-05-10 15:00:00,45.0,1.8629,Yes,Long,1.0,Win,1.8629,1.8609,1.8669,
2006-06-29 14:00:00,25.0,1.8128,Yes,Long,1.0,Loss,1.8128,1.8108,1.8168,
2006-08-03 14:00:00,81.7,1.8743,Yes,Long,1.0,Win,1.8743,1.8723,1.8783,
2007-01-11 14:00:00,25.0,1.9518,Yes,Long,1.0,Loss,1.9518,1.9498,1.9558,
2007-01-11 15:00:00,25.0,1.9476,Yes,Short,,Win,1.9476,1.9496,1.9436,1.0
2007-05-10 14:00:00,50.0,1.9886,Yes,Long,1.0,Loss,1.9886,1.9866,1.9926,
2007-05-10 15:00:00,50.0,1.9897,Yes,Long,1.0,Loss,1.9897,1.9877,1.9937,
2007-07-05 14:00:00,93.6,2.0143,Yes,Short,,Loss,2.0143,2.0163,2.0103,1.0
2007-07-05 15:00:00,93.4,2.019,Yes,Long,1.0,Loss,2.019,2.017,2.023,
2015-12-16 14:00:00,36.8,1.49991,Yes,Short,,Loss,1.49991,1.50191,1.49591,1.0
2015-12-16 15:00:00,36.8,1.5025,Yes,Long,1.0,Loss,1.5025,1.5005,1.5065,
2016-12-14 14:00:00,50.6,1.26803,Yes,Long,1.0,Win,1.26803,1.26603,1.27203,
2017-03-15 14:00:00,0.0,1.21937,Yes,Long,1.0,Win,1.21937,1.21737,1.22337,
2017-06-14 14:00:00,25.0,1.27285,Yes,Short,,Loss,1.27285,1.27485,1.26885,1.0
2017-06-14 16:00:00,25.0,1.27887,Yes,Long,1.0,Loss,1.27887,1.27687,1.28287,
2017-11-02 14:00:00,35.0,1.3221,Yes,Short,,Loss,1.3221,1.3241,1.3181,1.0
2017-11-02 15:00:00,35.0,1.31169,Yes,Short,,Win,1.31169,1.31369,1.30769,1.0
2017-12-13 14:00:00,0.0,1.33541,Yes,Long,1.0,Loss,1.33541,1.33341,1.33941,
2017-12-13 15:00:00,0.0,1.33487,Yes,Short,,Loss,1.33487,1.33687,1.33087,1.0
2018-03-21 14:00:00,58.3,1.40476,Yes,Short,,Loss,1.40476,1.40676,1.40076,1.0
2018-03-21 16:00:00,58.3,1.40672,Yes,Long,1.0,Win,1.40672,1.40472,1.41072,
2018-06-13 14:00:00,22.2,1.33292,Yes,Short,,Loss,1.33292,1.33492,1.32892,1.0
2018-06-13 16:00:00,19.5,1.33498,Yes,Long,1.0,Loss,1.33498,1.33298,1.33898,
2018-08-02 14:00:00,30.8,1.30811,Yes,Long,1.0,Loss,1.30811,1.30611,1.31211,
2018-08-02 15:00:00,28.2,1.30455,Yes,Short,,Win,1.30455,1.30655,1.30055,1.0
2018-09-26 14:00:00,60.6,1.31475,Yes,Short,,Loss,1.31475,1.31675,1.31075,1.0
2018-09-26 16:00:00,59.6,1.31641,Yes,Long,1.0,Win,1.31641,1.31441,1.32041,
2018-12-19 14:00:00,50.0,1.26252,Yes,Short,,Loss,1.26252,1.26452,1.25852,1.0
2018-12-19 16:00:00,50.0,1.26678,Yes,Long,1.0,Loss,1.26678,1.26478,1.27078,
2020-03-03 14:00:00,25.0,1.27778,Yes,Short,,Loss,1.27778,1.27978,1.27378,1.0
2020-03-03 16:00:00,25.0,1.27815,Yes,Short,,Loss,1.27815,1.28015,1.27415,1.0
2021-11-10 14:00:00,25.0,1.35087,Yes,Short,,Loss,1.35087,1.35287,1.34687,1.0
2021-11-10 16:00:00,25.0,1.35212,Yes,Long,1.0,Loss,1.35212,1.35012,1.35612,
2021-11-17 14:00:00,25.0,1.34547,Yes,Long,1.0,Win,1.34547,1.34347,1.34947,
2021-12-16 14:00:00,0.0,1.33505,Yes,Long,1.0,Loss,1.33505,1.33305,1.33905,
2021-12-16 16:00:00,0.0,1.33275,Yes,Short,,Win,1.33275,1.33475,1.32875,1.0
2022-03-09 14:00:00,0.0,1.31502,Yes,Short,,Loss,1.31502,1.31702,1.31102,1.0
2022-03-09 16:00:00,0.0,1.31654,Yes,Long,1.0,Loss,1.31654,1.31454,1.32054,
2022-05-04 14:00:00,0.0,1.25193,Yes,Long,1.0,Loss,1.25193,1.24993,1.25593,
2022-05-04 17:00:00,0.0,1.24862,Yes,Short,,Loss,1.24862,1.25062,1.24462,1.0
2022-06-10 14:00:00,0.0,1.24429,Yes,Short,,Win,1.24429,1.24629,1.24029,1.0
2022-06-22 14:00:00,50.0,1.22501,Yes,Short,,Loss,1.22501,1.22701,1.22101,1.0
2022-06-22 17:00:00,50.0,1.22707,Yes,Long,1.0,Win,1.22707,1.22507,1.23107,
2022-07-27 14:00:00,83.5,1.20584,Yes,Short,,Loss,1.20584,1.20784,1.20184,1.0
2022-09-21 14:00:00,50.0,1.13412,Yes,Short,,Win,1.13412,1.13612,1.13012,1.0
2022-10-12 14:00:00,25.3,1.10781,Yes,Long,1.0,Loss,1.10781,1.10581,1.11181,
2022-10-12 15:00:00,25.0,1.10513,Yes,Short,,Loss,1.10513,1.10713,1.10113,1.0
2022-11-02 14:00:00,32.3,1.1508,Yes,Long,1.0,Loss,1.1508,1.1488,1.1548,
2022-11-02 15:00:00,32.3,1.14927,Yes,Short,,Win,1.14927,1.15127,1.14527,1.0
2023-03-22 14:00:00,86.0,1.22697,Yes,Long,1.0,Loss,1.22697,1.22497,1.23097,
2023-03-22 15:00:00,86.0,1.22357,Yes,Short,,Loss,1.22357,1.22557,1.21957,1.0
