Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Friday_Reversal_Long,Outcome,Entry,SL,TP,Friday_Reversal_Short
2000-09-08 19:00:00,0.0,1.4206,Yes,Long,1.0,Loss,1.4206,0,0,
2000-09-22 19:00:00,54.8,1.458,Yes,Short,,Win,1.458,0,0,1.0
2000-10-06 19:00:00,0.0,1.4447,Yes,Long,1.0,Win,1.4447,0,0,
2000-12-15 18:00:00,25.6,1.4768,Yes,Short,,Loss,1.4768,0,0,1.0
2001-03-16 18:00:00,0.0,1.427,Yes,Long,1.0,Win,1.427,0,0,
2001-06-08 19:00:00,25.0,1.3822,Yes,Long,1.0,Win,1.3822,0,0,
2001-07-20 19:00:00,53.6,1.4294,Yes,Short,,Win,1.4294,0,0,1.0
2001-08-17 19:00:00,77.9,1.447,Yes,Short,,Win,1.447,0,0,1.0
2001-10-12 19:00:00,25.0,1.4526,Yes,Long,1.0,Win,1.4526,0,0,
2002-03-01 18:00:00,25.0,1.4189,Yes,Long,1.0,Win,1.4189,0,0,
2002-04-19 19:00:00,64.7,1.4466,Yes,Short,,Loss,1.4466,0,0,1.0
2002-05-10 19:00:00,26.3,1.4573,Yes,Long,1.0,Win,1.4573,0,0,
2002-06-21 19:00:00,69.8,1.4914,Yes,Short,,Loss,1.4914,0,0,1.0
2002-06-28 19:00:00,69.7,1.5258,Yes,Short,,Loss,1.5258,0,0,1.0
2002-07-12 19:00:00,56.6,1.5471,Yes,Short,,Loss,1.5471,0,0,1.0
2002-07-19 19:00:00,67.9,1.5786,Yes,Short,,Win,1.5786,0,0,1.0
2002-08-09 19:00:00,0.0,1.5239,Yes,Long,1.0,Win,1.5239,0,0,
2002-08-30 19:00:00,30.9,1.5481,Yes,Short,,Loss,1.5481,0,0,1.0
2002-11-08 18:00:00,75.0,1.5916,Yes,Short,,Win,1.5916,0,0,1.0
2002-11-29 18:00:00,50.0,1.5558,Yes,Long,1.0,Win,1.5558,0,0,
2003-02-21 18:00:00,0.0,1.5872,Yes,Long,1.0,Loss,1.5872,0,0,
2003-03-07 18:00:00,48.0,1.6024,Yes,Short,,Loss,1.6024,0,0,1.0
2003-06-06 19:00:00,26.1,1.6616,Yes,Short,,Win,1.6616,0,0,1.0
2003-07-11 19:00:00,25.0,1.6328,Yes,Long,1.0,Loss,1.6328,0,0,
2003-07-18 19:00:00,0.0,1.587,Yes,Long,1.0,Loss,1.587,0,0,
2003-07-25 19:00:00,50.0,1.6203,Yes,Short,,Win,1.6203,0,0,1.0
2003-09-19 19:00:00,56.2,1.6323,Yes,Short,,Loss,1.6323,0,0,1.0
2003-12-19 18:00:00,90.7,1.7682,Yes,Short,,Win,1.7682,0,0,1.0
2004-01-09 18:00:00,96.1,1.8479,Yes,Short,,Win,1.8479,0,0,1.0
2004-01-16 18:00:00,17.6,1.8001,Yes,Long,1.0,Loss,1.8001,0,0,
2004-03-12 18:00:00,0.0,1.7944,Yes,Long,1.0,Win,1.7944,0,0,
2004-05-28 19:00:00,95.3,1.8329,Yes,Short,,Loss,1.8329,0,0,1.0
2004-07-23 19:00:00,25.0,1.8326,Yes,Long,1.0,Win,1.8326,0,0,
2004-11-26 18:00:00,84.5,1.8961,Yes,Short,,Win,1.8961,0,0,1.0
2004-12-03 18:00:00,95.7,1.9373,Yes,Short,,Loss,1.9373,0,0,1.0
2005-01-07 18:00:00,0.0,1.8699,Yes,Long,1.0,Win,1.8699,0,0,
2005-03-25 18:00:00,25.0,1.8686,Yes,Long,1.0,Loss,1.8686,0,0,
2005-05-13 19:00:00,0.0,1.8531,Yes,Long,1.0,Loss,1.8531,0,0,
2005-07-01 19:00:00,0.0,1.7918,Yes,Long,1.0,Loss,1.7918,0,0,
2005-08-12 19:00:00,68.2,1.8151,Yes,Short,,Loss,1.8151,0,0,1.0
2005-09-02 19:00:00,56.4,1.8419,Yes,Short,,Win,1.8419,0,0,1.0
2005-09-16 19:00:00,0.0,1.8037,Yes,Long,1.0,Loss,1.8037,0,0,
2005-11-18 18:00:00,0.0,1.715,Yes,Long,1.0,Win,1.715,0,0,
2005-12-23 18:00:00,0.0,1.7329,Yes,Long,1.0,Win,1.7329,0,0,
2006-01-06 18:00:00,44.4,1.7699,Yes,Short,,Loss,1.7699,0,0,1.0
2006-03-10 18:00:00,25.0,1.7259,Yes,Long,1.0,Win,1.7259,0,0,
2006-03-17 18:00:00,50.2,1.7568,Yes,Short,,Win,1.7568,0,0,1.0
2006-04-21 19:00:00,67.5,1.7819,Yes,Short,,Loss,1.7819,0,0,1.0
2006-04-28 19:00:00,81.0,1.8222,Yes,Short,,Loss,1.8222,0,0,1.0
2006-05-05 19:00:00,70.3,1.859,Yes,Short,,Loss,1.859,0,0,1.0
2006-06-09 19:00:00,0.0,1.8427,Yes,Long,1.0,Loss,1.8427,0,0,
2006-06-23 19:00:00,0.0,1.8206,Yes,Long,1.0,Loss,1.8206,0,0,
2006-06-30 19:00:00,25.0,1.8492,Yes,Short,,Win,1.8492,0,0,1.0
2006-08-04 19:00:00,90.4,1.91,Yes,Short,,Win,1.91,0,0,1.0
2006-09-08 19:00:00,0.0,1.8658,Yes,Long,1.0,Win,1.8658,0,0,
2006-09-29 19:00:00,25.6,1.872,Yes,Long,1.0,Win,1.872,0,0,
2006-10-20 19:00:00,62.0,1.8828,Yes,Short,,Loss,1.8828,0,0,1.0
2006-11-24 18:00:00,58.7,1.9318,Yes,Short,,Loss,1.9318,0,0,1.0
2006-12-01 18:00:00,98.3,1.9797,Yes,Short,,Loss,1.9797,0,0,1.0
2007-01-05 18:00:00,0.0,1.9307,Yes,Long,1.0,Loss,1.9307,0,0,
2007-01-12 18:00:00,25.0,1.9574,Yes,Short,,Loss,1.9574,0,0,1.0
2007-06-22 19:00:00,67.7,1.9978,Yes,Short,,Loss,1.9978,0,0,1.0
2007-07-13 19:00:00,52.8,2.0345,Yes,Short,,Win,2.0345,0,0,1.0
2007-07-20 19:00:00,70.4,2.0569,Yes,Short,,Win,2.0569,0,0,1.0
2007-07-27 19:00:00,11.4,2.0291,Yes,Long,1.0,Loss,2.0291,0,0,
2007-08-17 19:00:00,25.0,1.983,Yes,Long,1.0,Loss,1.983,0,0,
2007-11-02 18:00:00,91.8,2.0822,Yes,Short,,Loss,2.0822,0,0,1.0
2007-11-16 18:00:00,0.0,2.0482,Yes,Long,1.0,Win,2.0482,0,0,
2008-08-08 19:00:00,0.0,1.9195,Yes,Long,1.0,Loss,1.9195,0,0,
2008-08-15 19:00:00,0.0,1.8653,Yes,Long,1.0,Win,1.8653,0,0,
2008-09-05 19:00:00,0.0,1.7688,Yes,Long,1.0,Win,1.7688,0,0,
2008-10-10 19:00:00,0.0,1.7037,Yes,Long,1.0,Win,1.7037,0,0,
2008-10-24 19:00:00,0.0,1.5846,Yes,Long,1.0,Win,1.5846,0,0,
2008-12-05 18:00:00,25.0,1.4608,Yes,Long,1.0,Win,1.4608,0,0,
2009-01-09 18:00:00,80.1,1.524,Yes,Short,,Win,1.524,0,0,1.0
