Datetime_Kyiv,Direction,Entry_Price,Geo_Shock_Short,Outcome,Hold_Bars
2001-09-11 15:00:00,Short,1.4561,1.0,Loss,8
2003-03-20 02:00:00,Short,1.5661,1.0,Loss,8
2006-07-12 03:00:00,Short,1.8451,1.0,Loss,8
2006-09-18 20:00:00,Short,1.8801,1.0,Loss,8
2008-08-06 03:00:00,Short,1.9557,1.0,Loss,8
2008-08-08 03:00:00,Short,1.9437,1.0,Win,8
2010-02-18 13:00:00,Short,1.5591,1.0,Loss,8
2011-02-15 01:00:00,Short,1.6023,1.0,Win,8
2011-03-15 00:00:00,Short,1.6171,1.0,Win,8
2012-03-21 02:00:00,Short,1.58629,1.0,Loss,8
2013-07-03 01:00:00,Short,1.51522,1.0,Win,8
2014-02-27 00:00:00,Short,1.66651,1.0,Loss,8
2014-05-21 20:00:00,Short,1.68699,1.0,Loss,8
2015-03-26 02:00:00,Short,1.48765,1.0,Loss,8
2015-11-13 22:00:00,Short,1.52314,1.0,Win,8
2016-03-22 08:00:00,Short,1.43921,1.0,Win,8
2018-09-21 23:00:00,Short,1.30796,1.0,Win,8
2019-03-15 02:00:00,Short,1.32418,1.0,Loss,8
2019-04-11 17:00:00,Short,1.30805,1.0,Win,8
2020-08-18 03:00:00,Short,1.31058,1.0,Loss,8
2021-02-01 01:00:00,Short,1.36971,1.0,Loss,8
2021-05-24 09:00:00,Short,1.41575,1.0,Loss,8
2022-01-24 02:00:00,Short,1.35531,1.0,Win,8
2022-02-24 05:00:00,Short,1.35134,1.0,Win,8
2022-09-30 03:00:00,Short,1.11707,1.0,Loss,8
