Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,LDN_Protected_AH_Short,Outcome,Entry,SL,TP,LDN_Protected_AL_Long
2025-01-10 10:00:00,0.0,1.22881,Yes,Short,1.0,Loss,1.22881,1.23081,1.22481,
2025-01-14 10:00:00,0.0,1.22131,Yes,Long,,Loss,1.22131,1.21931,1.22531,1.0
2025-01-22 10:00:00,50.0,1.23386,Yes,Long,,Loss,1.23386,1.23186,1.23786,1.0
2025-01-27 10:00:00,61.6,1.24573,Yes,Short,1.0,Loss,1.24573,1.24773,1.24173,
2025-01-28 10:00:00,89.6,1.24323,Yes,Short,1.0,Loss,1.24323,1.24523,1.23923,
2025-01-31 10:00:00,62.0,1.24137,Yes,Short,1.0,Loss,1.24137,1.24337,1.23737,
2025-02-03 10:00:00,15.7,1.23056,Yes,Short,1.0,Loss,1.23056,1.23256,1.22656,
2025-02-04 10:00:00,4.0,1.24198,Yes,Long,,Loss,1.24198,1.23998,1.24598,1.0
2025-02-05 10:00:00,52.2,1.25054,Yes,Long,,Win,1.25054,1.24854,1.25454,1.0
2025-02-07 10:00:00,25.0,1.24651,Yes,Short,1.0,Loss,1.24651,1.24851,1.24251,
2025-02-14 10:00:00,57.1,1.25844,Yes,Long,,Win,1.25844,1.25644,1.26244,1.0
2025-02-21 10:00:00,67.3,1.26589,Yes,Long,,Loss,1.26589,1.26389,1.26989,1.0
2025-02-24 10:00:00,90.7,1.26478,Yes,Long,,Loss,1.26478,1.26278,1.26878,1.0
2025-03-03 10:00:00,0.5,1.25905,Yes,Long,,Win,1.25905,1.25705,1.26305,1.0
2025-03-04 10:00:00,52.2,1.2719,Yes,Long,,Win,1.2719,1.2699,1.2759,1.0
2025-03-05 10:00:00,59.5,1.28431,Yes,Long,,Loss,1.28431,1.28231,1.28831,1.0
2025-03-06 10:00:00,66.3,1.28947,Yes,Long,,Loss,1.28947,1.28747,1.29347,1.0
2025-03-07 10:00:00,77.9,1.29204,Yes,Long,,Loss,1.29204,1.29004,1.29604,1.0
2025-03-20 10:00:00,85.0,1.29717,Yes,Long,,Loss,1.29717,1.29517,1.30117,1.0
2025-03-24 10:00:00,6.3,1.29528,Yes,Short,1.0,Loss,1.29528,1.29728,1.29128,
2025-04-03 10:00:00,25.1,1.31187,Yes,Long,,Win,1.31187,1.30987,1.31587,1.0
2025-04-04 10:00:00,66.0,1.30534,Yes,Short,1.0,Win,1.30534,1.30734,1.30134,
2025-04-08 10:00:00,0.0,1.27848,Yes,Short,1.0,Win,1.27848,1.28048,1.27448,
