Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Fix_Fade_Long,Outcome,Entry,SL,TP,Fix_Fade_Short
2000-06-21 18:00:00,25.0,1.4988,Yes,Long,1.0,Win,1.4988,0,0,
2000-06-22 18:00:00,25.0,1.5118,Yes,Short,,Loss,1.5118,0,0,1.0
2000-08-29 18:00:00,0.0,1.4605,Yes,Long,1.0,Loss,1.4605,0,0,
2000-10-25 18:00:00,0.0,1.4354,Yes,Long,1.0,Win,1.4354,0,0,
2000-11-06 18:00:00,2.6,1.431,Yes,Long,1.0,Loss,1.431,0,0,
2001-02-01 18:00:00,25.0,1.4779,Yes,Short,,Loss,1.4779,0,0,1.0
2001-02-06 18:00:00,24.8,1.4591,Yes,Long,1.0,Loss,1.4591,0,0,
2001-03-13 18:00:00,16.9,1.4517,Yes,Long,1.0,Loss,1.4517,0,0,
2001-04-18 18:00:00,25.0,1.4222,Yes,Long,1.0,Win,1.4222,0,0,
2001-05-22 18:00:00,78.7,1.4286,Yes,Long,1.0,Loss,1.4286,0,0,
2001-05-24 18:00:00,9.3,1.4102,Yes,Long,1.0,Loss,1.4102,0,0,
2001-06-06 18:00:00,25.0,1.394,Yes,Long,1.0,Loss,1.394,0,0,
2001-06-11 18:00:00,25.0,1.3727,Yes,Long,1.0,Win,1.3727,0,0,
2001-06-13 18:00:00,0.0,1.3881,Yes,Short,,Loss,1.3881,0,0,1.0
2001-06-21 18:00:00,24.5,1.4145,Yes,Short,,Loss,1.4145,0,0,1.0
2001-07-18 18:00:00,25.0,1.4155,Yes,Short,,Loss,1.4155,0,0,1.0
2001-08-06 18:00:00,23.9,1.4191,Yes,Long,1.0,Win,1.4191,0,0,
2001-08-15 18:00:00,25.0,1.4386,Yes,Short,,Loss,1.4386,0,0,1.0
2001-09-04 18:00:00,32.5,1.4462,Yes,Long,1.0,Loss,1.4462,0,0,
2001-09-05 18:00:00,6.0,1.4529,Yes,Short,,Loss,1.4529,0,0,1.0
2001-09-11 18:00:00,57.8,1.471,Yes,Short,,Loss,1.471,0,0,1.0
2001-09-12 18:00:00,42.8,1.4641,Yes,Long,1.0,Win,1.4641,0,0,
2001-10-02 18:00:00,71.7,1.4673,Yes,Long,1.0,Win,1.4673,0,0,
2001-10-08 18:00:00,37.8,1.4743,Yes,Long,1.0,Win,1.4743,0,0,
2001-10-29 18:00:00,25.0,1.453,Yes,Short,,Loss,1.453,0,0,1.0
2001-11-07 18:00:00,86.2,1.4654,Yes,Short,,Win,1.4654,0,0,1.0
2001-11-13 18:00:00,8.0,1.4431,Yes,Long,1.0,Loss,1.4431,0,0,
2001-11-19 18:00:00,25.0,1.4112,Yes,Long,1.0,Win,1.4112,0,0,
2001-11-28 18:00:00,0.0,1.4243,Yes,Short,,Loss,1.4243,0,0,1.0
2002-01-02 18:00:00,36.8,1.4456,Yes,Long,1.0,Win,1.4456,0,0,
2002-02-20 18:00:00,27.5,1.4269,Yes,Long,1.0,Win,1.4269,0,0,
2002-02-25 18:00:00,84.5,1.4269,Yes,Long,1.0,Loss,1.4269,0,0,
2002-03-12 18:00:00,39.4,1.4151,Yes,Long,1.0,Win,1.4151,0,0,
2002-04-01 18:00:00,25.0,1.442,Yes,Short,,Win,1.442,0,0,1.0
2002-05-01 18:00:00,36.9,1.4622,Yes,Short,,Loss,1.4622,0,0,1.0
2002-05-07 18:00:00,45.9,1.4647,Yes,Long,1.0,Win,1.4647,0,0,
2002-05-08 18:00:00,41.8,1.4589,Yes,Long,1.0,Loss,1.4589,0,0,
2002-05-14 18:00:00,25.0,1.448,Yes,Long,1.0,Win,1.448,0,0,
2002-05-15 18:00:00,25.0,1.4558,Yes,Short,,Loss,1.4558,0,0,1.0
2002-05-28 18:00:00,51.4,1.4626,Yes,Short,,Win,1.4626,0,0,1.0
2002-06-03 18:00:00,39.8,1.4618,Yes,Short,,Loss,1.4618,0,0,1.0
2002-06-11 18:00:00,25.0,1.4657,Yes,Short,,Loss,1.4657,0,0,1.0
2002-06-18 18:00:00,66.1,1.4869,Yes,Short,,Loss,1.4869,0,0,1.0
2002-06-24 18:00:00,69.3,1.5047,Yes,Short,,Win,1.5047,0,0,1.0
2002-06-26 18:00:00,70.2,1.5265,Yes,Short,,Loss,1.5265,0,0,1.0
2002-07-08 18:00:00,45.9,1.5348,Yes,Short,,Loss,1.5348,0,0,1.0
2002-07-15 18:00:00,62.1,1.5662,Yes,Short,,Loss,1.5662,0,0,1.0
2002-07-23 18:00:00,88.2,1.5637,Yes,Long,1.0,Loss,1.5637,0,0,
2002-07-31 18:00:00,50.0,1.5622,Yes,Long,1.0,Win,1.5622,0,0,
2002-08-01 18:00:00,25.0,1.5518,Yes,Long,1.0,Win,1.5518,0,0,
2002-08-06 18:00:00,0.0,1.5385,Yes,Long,1.0,Loss,1.5385,0,0,
2002-08-29 18:00:00,25.0,1.5493,Yes,Short,,Win,1.5493,0,0,1.0
2002-09-03 18:00:00,58.4,1.564,Yes,Short,,Win,1.564,0,0,1.0
2002-09-11 18:00:00,19.0,1.548,Yes,Long,1.0,Win,1.548,0,0,
2002-09-30 18:00:00,34.1,1.5727,Yes,Short,,Win,1.5727,0,0,1.0
2002-10-08 18:00:00,17.6,1.5568,Yes,Long,1.0,Loss,1.5568,0,0,
2002-10-28 18:00:00,50.0,1.5605,Yes,Short,,Win,1.5605,0,0,1.0
2002-10-31 18:00:00,57.9,1.5635,Yes,Short,,Loss,1.5635,0,0,1.0
2002-11-04 18:00:00,67.3,1.5549,Yes,Long,1.0,Win,1.5549,0,0,
2002-11-07 18:00:00,46.0,1.5798,Yes,Short,,Loss,1.5798,0,0,1.0
2002-11-25 18:00:00,25.0,1.5671,Yes,Long,1.0,Loss,1.5671,0,0,
2002-11-26 18:00:00,0.0,1.5508,Yes,Long,1.0,Win,1.5508,0,0,
2003-01-02 18:00:00,43.9,1.5981,Yes,Long,1.0,Loss,1.5981,0,0,
2003-02-17 18:00:00,0.0,1.6,Yes,Long,1.0,Loss,1.6,0,0,
2003-02-25 18:00:00,25.0,1.5725,Yes,Long,1.0,Win,1.5725,0,0,
2003-03-05 18:00:00,50.0,1.6003,Yes,Short,,Loss,1.6003,0,0,1.0
2003-03-17 18:00:00,2.2,1.5686,Yes,Long,1.0,Win,1.5686,0,0,
2003-04-02 18:00:00,44.3,1.5672,Yes,Long,1.0,Loss,1.5672,0,0,
2003-04-22 18:00:00,10.3,1.5773,Yes,Short,,Win,1.5773,0,0,1.0
2003-05-01 18:00:00,89.3,1.6112,Yes,Short,,Win,1.6112,0,0,1.0
2003-05-07 18:00:00,90.4,1.5917,Yes,Long,1.0,Win,1.5917,0,0,
2003-05-14 18:00:00,26.4,1.6205,Yes,Short,,Win,1.6205,0,0,1.0
2003-05-19 18:00:00,75.6,1.637,Yes,Short,,Win,1.637,0,0,1.0
2003-05-29 18:00:00,22.8,1.6493,Yes,Short,,Loss,1.6493,0,0,1.0
2003-06-05 18:00:00,25.0,1.6547,Yes,Short,,Loss,1.6547,0,0,1.0
