Datetime_Kyiv,Direction,Entry_Price,First_LDN_PDH_Short,HTF_Bullish_Prob,Outcome,Hold_Bars,First_LDN_PDL_Long
2000-05-31 11:00:00,Short,1.4961,1.0,25.0,Loss,8,
2000-06-13 12:00:00,Short,1.5137,1.0,25.0,Win,8,
2000-06-16 14:00:00,Short,1.5115,1.0,25.0,Loss,8,
2000-07-10 14:00:00,Short,1.5158,1.0,32.4,Win,8,
2000-07-20 12:00:00,Short,1.4962,1.0,25.0,Loss,8,
2000-07-21 14:00:00,Short,1.5135,1.0,25.0,Loss,8,
2000-07-31 11:00:00,Short,1.5001,1.0,19.8,Win,8,
2000-08-03 12:00:00,Short,1.4947,1.0,25.0,Loss,8,
2000-08-15 14:00:00,Short,1.505,1.0,37.3,Win,8,
2000-08-16 13:00:00,Long,1.5052,,59.6,Loss,8,1.0
2000-08-21 12:00:00,Short,1.4914,1.0,0.0,Win,8,
2000-08-28 13:00:00,Short,1.4709,1.0,0.0,Loss,8,
2000-09-04 10:00:00,Short,1.4648,1.0,25.0,Win,8,
2000-10-02 10:00:00,Long,1.4759,,93.5,Loss,8,1.0
2000-10-09 13:00:00,Short,1.4484,1.0,0.0,Loss,8,
2000-10-10 14:00:00,Short,1.4564,1.0,25.0,Win,8,
2000-10-11 12:00:00,Short,1.46,1.0,25.0,Loss,8,
2000-10-20 11:00:00,Short,1.4473,1.0,25.0,Win,8,
2000-10-27 12:00:00,Short,1.4347,1.0,0.0,Loss,8,
2000-11-01 13:00:00,Short,1.4456,1.0,25.0,Loss,8,
2000-11-06 11:00:00,Short,1.4497,1.0,1.4,Win,8,
2000-11-10 11:00:00,Short,1.4318,1.0,0.0,Win,8,
2000-11-13 12:00:00,Short,1.4312,1.0,25.0,Loss,8,
2000-11-14 11:00:00,Short,1.4379,1.0,25.0,Win,8,
2000-11-20 10:00:00,Short,1.4232,1.0,25.0,Win,8,
2000-11-21 12:00:00,Short,1.4228,1.0,25.0,Win,8,
2000-11-27 14:00:00,Short,1.4076,1.0,25.0,Loss,8,
2000-12-01 14:00:00,Short,1.4312,1.0,25.1,Loss,8,
2000-12-14 11:00:00,Short,1.4659,1.0,24.4,Loss,8,
2000-12-15 13:00:00,Short,1.475,1.0,24.8,Win,8,
2001-01-26 14:00:00,Short,1.4605,1.0,25.0,Loss,8,
2001-01-31 12:00:00,Short,1.4621,1.0,0.0,Win,8,
2001-02-12 14:00:00,Short,1.4516,1.0,0.0,Loss,8,
2001-03-05 11:00:00,Short,1.4685,1.0,44.3,Loss,8,
2001-03-07 10:00:00,Short,1.4682,1.0,32.1,Win,8,
2001-03-09 12:00:00,Short,1.4722,1.0,29.4,Win,8,
2001-03-12 10:00:00,Long,1.4684,,57.4,Loss,8,1.0
2001-03-26 14:00:00,Short,1.4339,1.0,25.0,Loss,8,
2001-03-27 11:00:00,Short,1.4364,1.0,25.0,Win,8,
2001-03-29 12:00:00,Short,1.4411,1.0,0.1,Win,8,
2001-04-03 14:00:00,Short,1.4218,1.0,0.0,Loss,8,
2001-04-12 11:00:00,Short,1.4348,1.0,25.3,Loss,8,
2001-04-17 13:00:00,Short,1.4367,1.0,28.0,Win,8,
2001-04-26 12:00:00,Short,1.4392,1.0,3.2,Win,8,
2001-04-27 14:00:00,Short,1.4432,1.0,34.4,Win,8,
2001-05-02 10:00:00,Short,1.4326,1.0,25.0,Loss,8,
2001-05-21 12:00:00,Short,1.4365,1.0,26.0,Loss,8,
2001-05-30 12:00:00,Short,1.4214,1.0,0.0,Loss,8,
2001-06-04 12:00:00,Short,1.4185,1.0,0.0,Win,8,
2001-06-06 12:00:00,Short,1.4002,1.0,25.0,Win,8,
2001-06-11 12:00:00,Short,1.3871,1.0,25.0,Win,8,
2001-06-26 13:00:00,Long,1.4134,,57.9,Win,8,1.0
2001-06-27 13:00:00,Short,1.4192,1.0,31.7,Win,8,
2001-07-09 12:00:00,Short,1.4087,1.0,25.0,Win,8,
2001-07-10 14:00:00,Short,1.4098,1.0,25.0,Loss,8,
2001-07-11 14:00:00,Short,1.4169,1.0,25.0,Win,8,
2001-07-31 12:00:00,Short,1.4272,1.0,16.4,Win,8,
2001-08-13 14:00:00,Short,1.4238,1.0,25.0,Win,8,
2001-08-29 13:00:00,Short,1.4556,1.0,1.4,Win,8,
2001-09-10 12:00:00,Long,1.466,,62.1,Loss,8,1.0
2001-09-11 11:00:00,Long,1.4566,,58.5,Win,8,1.0
2001-09-24 10:00:00,Short,1.4564,1.0,0.0,Loss,8,
2001-10-08 10:00:00,Short,1.4812,1.0,38.3,Win,8,
2001-10-24 11:00:00,Short,1.4296,1.0,0.0,Win,8,
2001-10-30 14:00:00,Short,1.4549,1.0,25.0,Win,8,
2001-11-26 13:00:00,Short,1.4188,1.0,25.0,Win,8,
2001-11-28 11:00:00,Short,1.4167,1.0,0.0,Loss,8,
2001-12-10 12:00:00,Short,1.4314,1.0,25.0,Loss,8,
2001-12-31 11:00:00,Short,1.4492,1.0,25.0,Loss,8,
2002-01-02 10:00:00,Short,1.4499,1.0,34.6,Win,8,
2002-01-14 12:00:00,Short,1.4469,1.0,25.0,Loss,8,
2002-02-05 12:00:00,Short,1.4235,1.0,25.0,Win,8,
2002-02-18 14:00:00,Short,1.4296,1.0,25.0,Win,8,
2002-02-19 12:00:00,Long,1.4246,,60.5,Win,8,1.0
2002-02-21 13:00:00,Long,1.4265,,56.3,Loss,8,1.0
2002-02-25 11:00:00,Long,1.4309,,84.7,Loss,8,1.0
2002-03-04 10:00:00,Short,1.4187,1.0,25.0,Loss,8,
2002-03-18 14:00:00,Short,1.4233,1.0,25.0,Loss,8,
2002-03-25 10:00:00,Long,1.4258,,58.9,Win,8,1.0
2002-03-26 14:00:00,Long,1.4242,,61.3,Win,8,1.0
2002-04-10 10:00:00,Short,1.4376,1.0,40.2,Win,8,
2002-04-15 12:00:00,Short,1.4373,1.0,25.0,Loss,8,
2002-04-17 14:00:00,Short,1.4447,1.0,41.1,Win,8,
2002-04-22 12:00:00,Long,1.4473,,67.7,Win,8,1.0
2002-04-24 14:00:00,Long,1.4478,,69.1,Win,8,1.0
2002-04-30 13:00:00,Long,1.4572,,86.8,Win,8,1.0
2002-05-02 12:00:00,Short,1.4671,1.0,38.3,Loss,8,
2002-05-13 13:00:00,Short,1.4638,1.0,25.0,Win,8,
2002-05-20 12:00:00,Short,1.461,1.0,25.0,Win,8,
2002-05-22 10:00:00,Short,1.4595,1.0,25.6,Win,8,
2002-05-27 12:00:00,Short,1.4561,1.0,30.7,Loss,8,
2002-06-11 14:00:00,Short,1.4662,1.0,25.0,Loss,8,
2002-06-12 14:00:00,Short,1.4722,1.0,25.0,Win,8,
2002-07-02 13:00:00,Long,1.5268,,69.3,Win,8,1.0
2002-07-19 12:00:00,Short,1.5815,1.0,43.0,Win,8,
2002-07-22 13:00:00,Long,1.5768,,66.8,Loss,8,1.0
2002-08-12 10:00:00,Short,1.5272,1.0,0.0,Loss,8,
2002-08-14 10:00:00,Short,1.5388,1.0,25.0,Loss,8,
2002-08-19 11:00:00,Short,1.5392,1.0,25.0,Win,8,
2002-08-27 10:00:00,Short,1.5273,1.0,25.0,Loss,8,
2002-08-30 13:00:00,Short,1.5517,1.0,26.5,Win,8,
2002-09-02 12:00:00,Long,1.5495,,74.5,Win,8,1.0
2002-09-09 13:00:00,Short,1.5599,1.0,43.2,Win,8,
2002-09-18 10:00:00,Short,1.5378,1.0,25.0,Loss,8,
2002-09-23 11:00:00,Short,1.5537,1.0,25.0,Loss,8,
2002-09-25 14:00:00,Short,1.5584,1.0,26.2,Win,8,
2002-09-30 10:00:00,Short,1.5655,1.0,33.4,Loss,8,
2002-10-08 10:00:00,Short,1.5665,1.0,20.0,Win,8,
2002-10-10 14:00:00,Short,1.5647,1.0,0.0,Win,8,
2002-10-14 10:00:00,Short,1.5619,1.0,0.0,Win,8,
2002-10-21 11:00:00,Short,1.5482,1.0,0.0,Win,8,
2002-10-23 14:00:00,Short,1.5464,1.0,0.0,Loss,8,
2002-10-25 11:00:00,Short,1.5546,1.0,25.0,Win,8,
2002-10-31 11:00:00,Short,1.5596,1.0,27.4,Loss,8,
2002-11-05 12:00:00,Short,1.564,1.0,34.2,Win,8,
2002-11-11 11:00:00,Long,1.5906,,76.0,Loss,8,1.0
2002-11-14 10:00:00,Long,1.5852,,60.2,Loss,8,1.0
2002-11-15 11:00:00,Long,1.5791,,57.4,Win,8,1.0
2002-11-18 10:00:00,Short,1.5807,1.0,23.0,Win,8,
2002-12-04 12:00:00,Short,1.5717,1.0,25.0,Win,8,
2002-12-06 12:00:00,Short,1.5705,1.0,25.5,Loss,8,
2002-12-09 12:00:00,Long,1.5766,,75.3,Win,8,1.0
2002-12-30 10:00:00,Short,1.6039,1.0,25.8,Loss,8,
2003-01-07 13:00:00,Long,1.6043,,65.7,Loss,8,1.0
2003-01-17 13:00:00,Short,1.6169,1.0,25.0,Win,8,
2003-01-20 12:00:00,Short,1.6109,1.0,27.2,Win,8,
2003-01-27 11:00:00,Long,1.6367,,87.6,Loss,8,1.0
2003-02-13 11:00:00,Short,1.6186,1.0,0.0,Loss,8,
2003-02-20 11:00:00,Short,1.5977,1.0,25.0,Win,8,
2003-02-24 12:00:00,Short,1.5794,1.0,0.0,Loss,8,
2003-02-25 11:00:00,Short,1.5856,1.0,25.0,Win,8,
2003-03-04 12:00:00,Short,1.5813,1.0,0.0,Loss,8,
2003-03-10 13:00:00,Long,1.5979,,77.9,Win,8,1.0
2003-03-13 13:00:00,Long,1.6067,,90.8,Loss,8,1.0
2003-03-20 12:00:00,Short,1.5654,1.0,0.0,Loss,8,
2003-03-24 11:00:00,Short,1.5719,1.0,25.0,Loss,8,
2003-03-27 12:00:00,Short,1.5724,1.0,25.0,Win,8,
2003-03-31 14:00:00,Short,1.58,1.0,9.6,Loss,8,
2003-04-07 10:00:00,Short,1.5529,1.0,0.0,Win,8,
2003-04-14 14:00:00,Short,1.5736,1.0,25.0,Win,8,
2003-04-16 14:00:00,Short,1.5753,1.0,8.7,Loss,8,
2003-05-05 12:00:00,Long,1.6043,,90.8,Win,8,1.0
2003-05-09 13:00:00,Short,1.6035,1.0,41.4,Loss,8,
2003-05-22 12:00:00,Long,1.635,,95.9,Win,8,1.0
2003-05-23 12:00:00,Long,1.643,,68.2,Loss,8,1.0
2003-06-02 11:00:00,Short,1.628,1.0,5.5,Loss,8,
2003-06-03 13:00:00,Short,1.6383,1.0,25.1,Win,8,
2003-06-06 14:00:00,Short,1.6653,1.0,25.0,Win,8,
2003-06-12 14:00:00,Short,1.6738,1.0,17.5,Win,8,
2003-06-23 11:00:00,Short,1.6646,1.0,19.3,Loss,8,
2003-06-24 14:00:00,Short,1.6684,1.0,2.9,Win,8,
2003-06-30 13:00:00,Short,1.6487,1.0,0.0,Loss,8,
2003-07-17 11:00:00,Short,1.5955,1.0,0.0,Win,8,
2003-07-22 14:00:00,Short,1.6028,1.0,25.0,Win,8,
2003-07-28 12:00:00,Long,1.6224,,59.3,Win,8,1.0
2003-07-30 13:00:00,Long,1.6232,,66.0,Loss,8,1.0
2003-08-04 13:00:00,Short,1.6116,1.0,34.7,Win,8,
2003-08-06 13:00:00,Short,1.6159,1.0,0.0,Win,8,
2003-08-14 14:00:00,Short,1.608,1.0,25.0,Win,8,
2003-08-25 14:00:00,Short,1.5787,1.0,0.0,Win,8,
2003-08-29 14:00:00,Short,1.5799,1.0,25.0,Win,8,
2003-09-08 14:00:00,Long,1.5889,,62.6,Loss,8,1.0
2003-09-09 13:00:00,Long,1.583,,67.3,Win,8,1.0
2003-09-15 12:00:00,Long,1.6044,,69.2,Loss,8,1.0
2003-09-18 14:00:00,Short,1.6159,1.0,27.8,Win,8,
2003-09-22 12:00:00,Long,1.649,,57.6,Win,8,1.0
2003-09-30 13:00:00,Short,1.673,1.0,41.2,Win,8,
2003-10-09 13:00:00,Short,1.6656,1.0,32.1,Win,8,
2003-10-20 11:00:00,Long,1.6807,,59.4,Loss,8,1.0
2003-10-27 12:00:00,Long,1.6974,,64.0,Loss,8,1.0
2003-10-29 14:00:00,Short,1.7041,1.0,39.1,Win,8,
2003-10-31 12:00:00,Long,1.6934,,61.5,Win,8,1.0
2003-11-03 11:00:00,Short,1.6952,1.0,27.5,Win,8,
2003-11-05 10:00:00,Short,1.6804,1.0,0.0,Win,8,
2003-11-10 11:00:00,Short,1.6721,1.0,0.0,Loss,8,
2003-11-17 10:00:00,Long,1.691,,55.8,Loss,8,1.0
2003-11-24 14:00:00,Long,1.6972,,70.2,Loss,8,1.0
2003-12-02 11:00:00,Long,1.7191,,81.6,Win,8,1.0
2003-12-04 11:00:00,Long,1.724,,64.8,Loss,8,1.0
2003-12-08 11:00:00,Long,1.733,,87.9,Win,8,1.0
2003-12-16 14:00:00,Short,1.7469,1.0,37.2,Loss,8,
2004-01-02 10:00:00,Long,1.7887,,67.1,Win,8,1.0
2004-01-12 11:00:00,Long,1.8565,,96.5,Loss,8,1.0
2004-01-13 14:00:00,Long,1.8474,,97.0,Loss,8,1.0
2004-01-19 11:00:00,Short,1.7879,1.0,0.2,Win,8,
2004-01-21 14:00:00,Short,1.8286,1.0,25.0,Loss,8,
2004-01-28 10:00:00,Short,1.8283,1.0,2.4,Loss,8,
2004-02-02 12:00:00,Short,1.8223,1.0,1.2,Win,8,
2004-02-20 12:00:00,Long,1.8838,,86.5,Loss,8,1.0
2004-02-24 14:00:00,Short,1.876,1.0,0.0,Loss,8,
2004-02-25 11:00:00,Short,1.8881,1.0,25.0,Win,8,
2004-03-01 11:00:00,Short,1.8692,1.0,25.0,Loss,8,
2004-03-09 11:00:00,Short,1.8376,1.0,25.0,Loss,8,
2004-03-15 14:00:00,Short,1.8024,1.0,0.0,Loss,8,
2004-03-18 13:00:00,Short,1.8234,1.0,25.0,Loss,8,
2004-04-08 11:00:00,Short,1.8396,1.0,42.7,Win,8,
2004-04-13 11:00:00,Short,1.8265,1.0,25.0,Win,8,
2004-05-17 13:00:00,Short,1.7698,1.0,0.0,Win,8,
2004-05-24 13:00:00,Long,1.7882,,66.8,Win,8,1.0
2004-06-03 10:00:00,Long,1.8331,,94.5,Win,8,1.0
2004-06-16 14:00:00,Short,1.8262,1.0,25.0,Loss,8,
2004-07-12 13:00:00,Long,1.8637,,89.6,Win,8,1.0
2004-07-13 12:00:00,Long,1.8584,,72.3,Loss,8,1.0
2004-07-15 10:00:00,Long,1.8521,,65.9,Win,8,1.0
2004-07-29 12:00:00,Short,1.8172,1.0,25.0,Win,8,
2004-08-05 13:00:00,Short,1.8242,1.0,0.0,Loss,8,
2004-08-27 12:00:00,Short,1.7988,1.0,25.0,Win,8,
2004-08-31 12:00:00,Short,1.7952,1.0,25.0,Loss,8,
2004-09-07 14:00:00,Short,1.7765,1.0,25.0,Win,8,
2004-09-14 12:00:00,Short,1.7969,1.0,25.0,Loss,8,
2004-09-30 13:00:00,Long,1.7988,,56.6,Win,8,1.0
2004-10-08 14:00:00,Short,1.7871,1.0,25.0,Loss,8,
2004-10-14 14:00:00,Short,1.8005,1.0,25.0,Win,8,
2004-10-18 12:00:00,Long,1.8038,,85.8,Loss,8,1.0
2004-10-19 13:00:00,Long,1.8003,,87.0,Win,8,1.0
2004-10-20 14:00:00,Short,1.8083,1.0,35.1,Loss,8,
2004-11-01 13:00:00,Long,1.8339,,80.2,Loss,8,1.0
2004-11-09 14:00:00,Long,1.8541,,61.8,Win,8,1.0
2004-11-10 14:00:00,Short,1.857,1.0,43.9,Win,8,
2004-11-15 14:00:00,Long,1.8537,,67.7,Loss,8,1.0
2004-11-17 14:00:00,Short,1.8577,1.0,26.3,Loss,8,
2004-11-18 10:00:00,Short,1.8619,1.0,28.2,Win,8,
2004-11-29 13:00:00,Long,1.8894,,90.9,Win,8,1.0
2004-12-08 12:00:00,Long,1.9316,,94.8,Loss,8,1.0
2004-12-13 12:00:00,Short,1.9142,1.0,29.1,Loss,8,
2004-12-21 13:00:00,Long,1.936,,60.3,Loss,8,1.0
2004-12-31 10:00:00,Short,1.9286,1.0,25.0,Win,8,
2005-01-03 10:00:00,Short,1.9128,1.0,25.0,Win,8,
2005-01-10 14:00:00,Short,1.8778,1.0,0.0,Win,8,
2005-01-11 10:00:00,Short,1.8765,1.0,25.0,Loss,8,
2005-01-17 11:00:00,Short,1.8698,1.0,0.0,Win,8,
2005-01-24 12:00:00,Short,1.8821,1.0,25.0,Win,8,
2005-01-27 11:00:00,Short,1.8849,1.0,30.3,Loss,8,
2005-02-24 13:00:00,Long,1.9116,,67.4,Loss,8,1.0
2005-03-02 14:00:00,Long,1.9101,,70.0,Win,8,1.0
2005-03-29 13:00:00,Short,1.8746,1.0,25.0,Loss,8,
2005-03-30 14:00:00,Short,1.8817,1.0,25.0,Win,8,
2005-04-06 12:00:00,Short,1.8822,1.0,44.3,Loss,8,
2005-04-08 12:00:00,Long,1.8686,,58.0,Win,8,1.0
2005-04-26 14:00:00,Long,1.9059,,82.7,Win,8,1.0
2005-05-04 10:00:00,Short,1.8998,1.0,0.0,Loss,8,
2005-05-05 12:00:00,Short,1.9043,1.0,25.0,Loss,8,
2005-05-11 14:00:00,Short,1.8836,1.0,25.0,Win,8,
2005-05-19 10:00:00,Short,1.8404,1.0,0.0,Win,8,
2005-05-23 13:00:00,Short,1.8288,1.0,0.0,Loss,8,
2005-05-24 12:00:00,Short,1.8312,1.0,25.0,Win,8,
2005-05-30 10:00:00,Short,1.824,1.0,25.0,Loss,8,
2005-06-07 14:00:00,Short,1.8313,1.0,25.0,Loss,8,
2005-06-08 11:00:00,Short,1.8371,1.0,25.0,Win,8,
2005-06-22 14:00:00,Short,1.8217,1.0,29.5,Loss,8,
2005-06-27 13:00:00,Short,1.8292,1.0,40.9,Win,8,
2005-06-28 14:00:00,Long,1.8221,,61.0,Loss,8,1.0
2005-07-11 10:00:00,Short,1.7425,1.0,0.0,Loss,8,
2005-07-12 10:00:00,Short,1.7657,1.0,0.0,Loss,8,
2005-07-18 12:00:00,Short,1.7477,1.0,3.0,Loss,8,
2005-07-21 14:00:00,Short,1.7473,1.0,0.0,Loss,8,
2005-08-08 11:00:00,Long,1.7794,,69.2,Win,8,1.0
2005-08-15 11:00:00,Long,1.814,,68.4,Loss,8,1.0
2005-08-22 13:00:00,Short,1.7965,1.0,4.4,Loss,8,
2005-08-25 12:00:00,Short,1.8043,1.0,25.0,Win,8,
2005-08-29 12:00:00,Short,1.8046,1.0,25.0,Win,8,
2005-09-14 11:00:00,Short,1.8258,1.0,0.3,Win,8,
2005-09-20 12:00:00,Short,1.8046,1.0,0.0,Win,8,
2005-09-26 11:00:00,Short,1.7743,1.0,0.0,Loss,8,
