Datetime_Kyiv,Direction,Entry_Price,LO_True_Trend_Long,Outcome,Hold_Bars,LO_True_Trend_Short
2018-01-22 11:00:00,Long,1.38974,1.0,Win,8,
2018-01-24 11:00:00,Long,1.40931,1.0,Win,8,
2018-01-25 11:00:00,Short,1.4287,,Win,8,1.0
2018-02-01 11:00:00,Long,1.42483,1.0,Loss,8,
2018-02-23 11:00:00,Long,1.39677,1.0,Win,8,
2018-03-26 12:00:00,Long,1.41953,1.0,Win,8,
2018-03-27 12:00:00,Short,1.4148,,Loss,8,1.0
2018-03-29 12:00:00,Short,1.40393,,Win,8,1.0
2018-04-13 12:00:00,Long,1.42841,1.0,Loss,8,
2018-04-17 12:00:00,Long,1.43268,1.0,Loss,8,
2018-04-26 12:00:00,Short,1.39108,,Loss,8,1.0
2018-04-27 12:00:00,Short,1.38198,,Win,8,1.0
2018-04-30 12:00:00,Short,1.37338,,Loss,8,1.0
2018-05-29 12:00:00,Short,1.32319,,Loss,8,1.0
2018-06-07 12:00:00,Long,1.34583,1.0,Loss,8,
2018-06-12 12:00:00,Long,1.3401,1.0,Loss,8,
2018-06-18 12:00:00,Short,1.32417,,Win,8,1.0
2018-06-19 12:00:00,Short,1.31877,,Win,8,1.0
2018-07-03 12:00:00,Long,1.31902,1.0,Loss,8,
2018-07-09 12:00:00,Long,1.33413,1.0,Loss,8,
2018-07-10 12:00:00,Long,1.32493,1.0,Win,8,
2018-07-13 12:00:00,Short,1.31285,,Loss,8,1.0
2018-07-19 12:00:00,Short,1.30098,,Win,8,1.0
2018-08-03 12:00:00,Short,1.29937,,Loss,8,1.0
2018-08-09 12:00:00,Short,1.28817,,Win,8,1.0
2018-08-10 12:00:00,Short,1.27562,,Win,8,1.0
2018-08-14 12:00:00,Long,1.27697,1.0,Loss,8,
2018-08-22 12:00:00,Short,1.28833,,Loss,8,1.0
2018-09-05 12:00:00,Short,1.28187,,Loss,8,1.0
2018-09-21 12:00:00,Short,1.32172,,Win,8,1.0
2018-10-05 12:00:00,Long,1.30326,1.0,Win,8,
2018-10-08 12:00:00,Short,1.30558,,Loss,8,1.0
2018-10-09 12:00:00,Short,1.30636,,Loss,8,1.0
2018-10-11 12:00:00,Short,1.31917,,Loss,8,1.0
2018-10-16 12:00:00,Long,1.31938,1.0,Loss,8,
2018-11-01 11:00:00,Long,1.29093,1.0,Win,8,
2018-11-14 11:00:00,Short,1.29662,,Win,8,1.0
2018-11-15 11:00:00,Short,1.27865,,Win,8,1.0
2018-11-29 11:00:00,Short,1.27804,,Win,8,1.0
2018-12-04 11:00:00,Long,1.28092,1.0,Loss,8,
