Datetime_Kyiv,Direction,Entry_Price,Macro_Inside_Bar_Short,Outcome,Hold_Bars
2001-09-11 18:00:00,Short,1.471,1.0,Loss,6
2001-09-12 12:00:00,Short,1.4662,1.0,Win,6
2001-10-08 04:00:00,Short,1.4824,1.0,Win,6
2006-09-19 17:00:00,Short,1.8875,1.0,Win,6
2007-05-10 17:00:00,Short,1.9828,1.0,Win,6
2010-02-18 17:00:00,Short,1.5639,1.0,Win,6
2010-02-19 02:00:00,Short,1.5441,1.0,Win,6
2010-05-07 08:00:00,Short,1.4754,1.0,Win,6
2010-05-10 21:00:00,Short,1.4854,1.0,Win,6
2011-02-15 12:00:00,Short,1.6074,1.0,Loss,6
2011-03-15 11:00:00,Short,1.6069,1.0,Win,6
2012-03-21 13:00:00,Short,1.58666,1.0,Win,6
2013-07-03 13:00:00,Short,1.52397,1.0,Loss,6
2014-05-22 13:00:00,Short,1.6876,1.0,Win,6
2016-03-22 12:00:00,Short,1.42937,1.0,Win,6
2016-06-24 08:00:00,Short,1.33783,1.0,Loss,6
2021-05-24 13:00:00,Short,1.4136,1.0,Loss,6
2022-02-24 18:00:00,Short,1.33562,1.0,Loss,6
2022-09-23 14:00:00,Short,1.10254,1.0,Win,6
