Datetime_Kyiv,Direction,Entry_Price,Wed_Fakeout_Long,Outcome,Hold_Bars,Wed_Fakeout_Short
2000-05-31 06:00:00,Long,1.4987,1.0,Loss,8,
2000-07-05 11:00:00,Long,1.515,1.0,Loss,8,
2000-07-26 13:00:00,Short,1.5196,,Win,8,1.0
2000-08-02 18:00:00,Long,1.4941,1.0,Win,8,
2000-08-09 17:00:00,Long,1.5018,1.0,Win,8,
2000-08-16 12:00:00,Long,1.5047,1.0,Loss,8,
2000-08-23 07:00:00,Long,1.4793,1.0,Win,8,
2000-08-30 03:00:00,Long,1.4521,1.0,Loss,8,
2000-09-06 12:00:00,Long,1.4499,1.0,Loss,8,
2000-09-20 19:00:00,Short,1.4111,,Loss,8,1.0
2000-09-27 10:00:00,Short,1.4639,,Win,8,1.0
2000-10-04 16:00:00,Long,1.457,1.0,Win,8,
2000-10-11 06:00:00,Short,1.458,,Loss,8,1.0
2000-10-18 19:00:00,Short,1.4468,,Win,8,1.0
2000-11-01 10:00:00,Short,1.4535,,Win,8,1.0
2000-11-08 05:00:00,Short,1.4343,,Win,8,1.0
2000-11-15 16:00:00,Long,1.4278,1.0,Loss,8,
2000-11-29 13:00:00,Short,1.4214,,Loss,8,1.0
2000-12-13 13:00:00,Long,1.4481,1.0,Win,8,
2000-12-27 11:00:00,Short,1.4845,,Loss,8,1.0
2001-01-03 20:00:00,Short,1.4939,,Win,8,1.0
2001-01-10 04:00:00,Long,1.4885,1.0,Win,8,
2001-01-24 12:00:00,Long,1.467,1.0,Loss,8,
2001-01-31 18:00:00,Short,1.4618,,Loss,8,1.0
2001-02-07 04:00:00,Long,1.4583,1.0,Loss,8,
2001-02-14 14:00:00,Short,1.4554,,Loss,8,1.0
2001-02-28 15:00:00,Short,1.4446,,Loss,8,1.0
2001-03-07 10:00:00,Short,1.4682,,Win,8,1.0
2001-03-14 11:00:00,Long,1.4504,1.0,Loss,8,
2001-03-28 14:00:00,Long,1.4305,1.0,Win,8,
2001-04-04 14:00:00,Short,1.432,,Loss,8,1.0
2001-04-11 17:00:00,Long,1.4323,1.0,Win,8,
2001-04-18 20:00:00,Long,1.4318,1.0,Loss,8,
2001-04-25 12:00:00,Long,1.435,1.0,Win,8,
2001-05-02 09:00:00,Short,1.4358,,Win,8,1.0
2001-05-09 12:00:00,Long,1.4255,1.0,Loss,8,
2001-05-23 16:00:00,Long,1.4246,1.0,Loss,8,
2001-05-30 06:00:00,Short,1.4233,,Win,8,1.0
2001-06-20 18:00:00,Long,1.3953,1.0,Win,8,
