Datetime_Kyiv,Direction,Entry_Price,Monday_Reversion_Long,Outcome,Hold_Bars,Monday_Reversion_Short
2018-04-23 03:00:00,Long,1.40014,1.0,Loss,8,
2018-04-30 03:00:00,Long,1.37684,1.0,Loss,8,
2018-05-07 03:00:00,Long,1.35312,1.0,Win,8,
2018-08-13 03:00:00,Long,1.27592,1.0,Loss,8,
2018-10-29 02:00:00,Long,1.28301,1.0,Win,8,
2019-01-28 02:00:00,Short,1.32029,,Win,8,1.0
2019-03-11 02:00:00,Long,1.29674,1.0,Win,8,
2019-03-18 02:00:00,Short,1.32898,,Win,8,1.0
2019-05-06 03:00:00,Short,1.31499,,Win,8,1.0
2019-05-20 03:00:00,Long,1.27299,1.0,Win,8,
2019-06-24 03:00:00,Short,1.27514,,Win,8,1.0
2019-07-08 03:00:00,Long,1.25239,1.0,Loss,8,
2019-08-05 03:00:00,Long,1.21496,1.0,Loss,8,
2019-10-14 03:00:00,Short,1.26164,,Win,8,1.0
2019-12-09 02:00:00,Short,1.3144,,Loss,8,1.0
2019-12-16 02:00:00,Short,1.33571,,Loss,8,1.0
2019-12-23 02:00:00,Long,1.30052,1.0,Win,8,
2020-02-10 02:00:00,Long,1.28932,1.0,Loss,8,
2020-03-09 02:00:00,Short,1.30723,,Loss,8,1.0
2020-03-16 02:00:00,Long,1.23342,1.0,Win,8,
2020-03-23 02:00:00,Long,1.15992,1.0,Win,8,
2020-03-30 03:00:00,Short,1.23992,,Win,8,1.0
2020-05-18 03:00:00,Long,1.20844,1.0,Win,8,
2020-06-08 03:00:00,Short,1.27184,,Win,8,1.0
2020-07-27 03:00:00,Short,1.2794,,Loss,8,1.0
2020-08-03 03:00:00,Short,1.30987,,Win,8,1.0
2020-08-31 03:00:00,Short,1.33548,,Win,8,1.0
2020-09-14 03:00:00,Long,1.28065,1.0,Win,8,
2021-05-10 03:00:00,Short,1.40402,,Loss,8,1.0
2021-06-21 03:00:00,Long,1.38158,1.0,Win,8,
2021-08-23 03:00:00,Long,1.3624,1.0,Win,8,
2021-11-08 02:00:00,Long,1.34818,1.0,Win,8,
2022-02-28 02:00:00,Long,1.33697,1.0,Loss,8,
2022-04-25 03:00:00,Long,1.28278,1.0,Loss,8,
2022-05-02 03:00:00,Long,1.25699,1.0,Win,8,
2022-06-13 03:00:00,Long,1.22763,1.0,Loss,8,
2022-08-22 03:00:00,Long,1.18184,1.0,Loss,8,
2022-09-26 03:00:00,Long,1.07924,1.0,Loss,8,
2022-11-14 02:00:00,Short,1.17971,,Loss,8,1.0
2023-02-06 02:00:00,Long,1.20385,1.0,Win,8,
2023-05-15 03:00:00,Long,1.24477,1.0,Win,8,
2023-06-19 03:00:00,Short,1.283,,Win,8,1.0
2023-07-17 03:00:00,Short,1.30891,,Loss,8,1.0
2023-07-24 03:00:00,Long,1.28528,1.0,Loss,8,
2023-11-06 02:00:00,Short,1.23672,,Loss,8,1.0
2023-11-20 02:00:00,Short,1.24506,,Loss,8,1.0
2024-03-11 02:00:00,Short,1.28558,,Win,8,1.0
2024-04-15 03:00:00,Long,1.24593,1.0,Win,8,
2024-05-20 03:00:00,Short,1.27055,,Win,8,1.0
2024-07-08 03:00:00,Short,1.28057,,Loss,8,1.0
2024-07-15 03:00:00,Short,1.2967,,Loss,8,1.0
2024-08-19 03:00:00,Short,1.2946,,Loss,8,1.0
2024-08-26 03:00:00,Short,1.32137,,Win,8,1.0
2024-09-23 03:00:00,Short,1.33117,,Win,8,1.0
2024-10-07 03:00:00,Long,1.31224,1.0,Loss,8,
2024-11-18 02:00:00,Long,1.26387,1.0,Loss,8,
2025-01-13 02:00:00,Long,1.22013,1.0,Loss,8,
2025-01-27 02:00:00,Short,1.24556,,Loss,8,1.0
2025-03-10 02:00:00,Short,1.29378,,Win,8,1.0
2025-05-26 03:00:00,Short,1.35373,,Loss,8,1.0
2025-06-30 03:00:00,Short,1.37184,,Win,8,1.0
2025-11-03 02:00:00,Long,1.3135,1.0,Loss,8,
2026-01-26 02:00:00,Short,1.36669,,Win,8,1.0
