Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NFP_Resumption_Short,Outcome,Entry,SL,TP,NFP_Resumption_Long
2004-04-02 15:00:00,50.1,1.8485,Yes,Short,1.0,Win,1.8485,1.8505,1.8445,
2007-07-06 15:00:00,38.4,2.0096,Yes,Short,1.0,Loss,2.0096,2.0116,2.0056,
2007-07-06 18:00:00,38.4,2.0133,Yes,Long,,Loss,2.0133,2.0113,2.0173,1.0
2011-05-06 15:00:00,0.0,1.6417,Yes,Short,1.0,Win,1.6417,1.6437,1.6377,
2012-08-03 15:00:00,2.8,1.55658,Yes,Short,1.0,Win,1.55658,1.55858,1.55258,
2013-05-03 15:00:00,43.1,1.55558,Yes,Long,,Loss,1.55558,1.55358,1.55958,1.0
2013-05-03 16:00:00,43.1,1.55045,Yes,Short,1.0,Loss,1.55045,1.55245,1.54645,
2015-02-06 15:00:00,66.1,1.52946,Yes,Short,1.0,Win,1.52946,1.53146,1.52546,
2015-06-05 15:00:00,50.0,1.53341,Yes,Long,,Loss,1.53341,1.53141,1.53741,1.0
2015-06-05 16:00:00,50.0,1.52378,Yes,Short,1.0,Win,1.52378,1.52578,1.51978,
2015-11-06 15:00:00,26.5,1.50451,Yes,Short,1.0,Loss,1.50451,1.50651,1.50051,
2015-11-06 16:00:00,26.5,1.50658,Yes,Long,,Loss,1.50658,1.50458,1.51058,1.0
2016-07-08 15:00:00,50.0,1.29746,Yes,Short,1.0,Loss,1.29746,1.29946,1.29346,
2016-07-08 16:00:00,50.0,1.29544,Yes,Short,1.0,Loss,1.29544,1.29744,1.29144,
2017-07-07 15:00:00,25.3,1.28989,Yes,Long,,Loss,1.28989,1.28789,1.29389,1.0
2017-07-07 16:00:00,25.3,1.28756,Yes,Short,1.0,Loss,1.28756,1.28956,1.28356,
2018-07-06 15:00:00,50.0,1.32291,Yes,Short,1.0,Loss,1.32291,1.32491,1.31891,
2018-07-06 16:00:00,50.0,1.32478,Yes,Long,,Win,1.32478,1.32278,1.32878,1.0
2018-11-02 15:00:00,25.0,1.29922,Yes,Short,1.0,Win,1.29922,1.30122,1.29522,
2019-06-07 15:00:00,26.3,1.27083,Yes,Short,1.0,Loss,1.27083,1.27283,1.26683,
2019-06-07 16:00:00,26.3,1.2743,Yes,Long,,Loss,1.2743,1.2723,1.2783,1.0
2019-07-05 15:00:00,0.0,1.255,Yes,Long,,Loss,1.255,1.253,1.259,1.0
2019-07-05 16:00:00,0.0,1.25232,Yes,Short,1.0,Win,1.25232,1.25432,1.24832,
2020-02-07 15:00:00,0.0,1.29333,Yes,Short,1.0,Loss,1.29333,1.29533,1.28933,
2020-02-07 16:00:00,0.0,1.29512,Yes,Long,,Loss,1.29512,1.29312,1.29912,1.0
2021-07-02 15:00:00,0.0,1.37414,Yes,Long,,Win,1.37414,1.37214,1.37814,1.0
2022-02-04 15:00:00,54.4,1.3512,Yes,Short,1.0,Loss,1.3512,1.3532,1.3472,
2022-02-04 16:00:00,54.4,1.353,Yes,Long,,Loss,1.353,1.351,1.357,1.0
2022-09-02 15:00:00,0.0,1.15593,Yes,Short,1.0,Loss,1.15593,1.15793,1.15193,
2022-09-02 16:00:00,0.0,1.15392,Yes,Short,1.0,Loss,1.15392,1.15592,1.14992,
2023-06-02 15:00:00,26.0,1.25217,Yes,Short,1.0,Win,1.25217,1.25417,1.24817,
2023-09-01 15:00:00,50.0,1.26703,Yes,Short,1.0,Loss,1.26703,1.26903,1.26303,
2023-09-01 16:00:00,50.0,1.26916,Yes,Long,,Loss,1.26916,1.26716,1.27316,1.0
2023-10-06 15:00:00,50.0,1.22119,Yes,Long,,Loss,1.22119,1.21919,1.22519,1.0
2023-10-06 16:00:00,50.0,1.21221,Yes,Short,1.0,Loss,1.21221,1.21421,1.20821,
2024-01-05 15:00:00,50.0,1.26571,Yes,Short,1.0,Loss,1.26571,1.26771,1.26171,
2024-01-05 16:00:00,50.0,1.27006,Yes,Long,,Win,1.27006,1.26806,1.27406,1.0
2024-03-08 15:00:00,72.7,1.28636,Yes,Long,,Loss,1.28636,1.28436,1.29036,1.0
2024-03-08 18:00:00,74.4,1.28493,Yes,Short,1.0,Win,1.28493,1.28693,1.28093,
2024-06-07 15:00:00,61.0,1.28072,Yes,Long,,Loss,1.28072,1.27872,1.28472,1.0
2024-06-07 16:00:00,61.0,1.27376,Yes,Short,1.0,Win,1.27376,1.27576,1.26976,
2024-07-05 15:00:00,67.6,1.27842,Yes,Short,1.0,Loss,1.27842,1.28042,1.27442,
2024-07-05 16:00:00,67.6,1.28027,Yes,Long,,Win,1.28027,1.27827,1.28427,1.0
2025-02-07 15:00:00,25.0,1.243,Yes,Short,1.0,Loss,1.243,1.245,1.239,
2025-02-07 16:00:00,25.0,1.24596,Yes,Long,,Loss,1.24596,1.24396,1.24996,1.0
2025-08-01 15:00:00,0.0,1.31578,Yes,Short,1.0,Loss,1.31578,1.31778,1.31178,
2025-08-01 16:00:00,0.0,1.32843,Yes,Long,,Loss,1.32843,1.32643,1.33243,1.0
2025-11-20 15:00:00,0.0,1.30957,Yes,Long,,Loss,1.30957,1.30757,1.31357,1.0
2025-11-20 18:00:00,0.0,1.30764,Yes,Short,1.0,Loss,1.30764,1.30964,1.30364,
2025-12-05 15:00:00,63.5,1.33504,Yes,Long,,Loss,1.33504,1.33304,1.33904,1.0
