Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NY_Cont_Short,Outcome,Entry,SL,TP,NY_Cont_Long
2000-06-21 16:00:00,25.0,1.501,Yes,Short,1.0,Win,1.501,0,0,
2000-06-29 16:00:00,50.0,1.5174,Yes,Long,,Win,1.5174,0,0,1.0
2000-06-30 16:00:00,50.0,1.5135,Yes,Short,1.0,Loss,1.5135,0,0,
2000-07-18 16:00:00,0.0,1.4981,Yes,Long,,Loss,1.4981,0,0,1.0
2000-07-31 16:00:00,16.0,1.4959,Yes,Short,1.0,Loss,1.4959,0,0,
2000-08-02 16:00:00,25.0,1.4887,Yes,Short,1.0,Loss,1.4887,0,0,
2000-08-03 16:00:00,25.0,1.4919,Yes,Short,1.0,Loss,1.4919,0,0,
2000-08-11 16:00:00,4.6,1.507,Yes,Long,,Loss,1.507,0,0,1.0
2000-08-29 16:00:00,0.0,1.4602,Yes,Short,1.0,Win,1.4602,0,0,
2000-09-05 16:00:00,50.0,1.451,Yes,Short,1.0,Loss,1.451,0,0,
2000-09-08 16:00:00,0.0,1.4217,Yes,Short,1.0,Win,1.4217,0,0,
2000-09-14 16:00:00,25.0,1.4158,Yes,Long,,Loss,1.4158,0,0,1.0
2000-09-20 16:00:00,50.0,1.4176,Yes,Long,,Loss,1.4176,0,0,1.0
2000-09-22 16:00:00,51.9,1.4594,Yes,Long,,Loss,1.4594,0,0,1.0
2000-10-17 16:00:00,0.7,1.4386,Yes,Short,1.0,Loss,1.4386,0,0,
2000-10-25 16:00:00,0.0,1.4389,Yes,Short,1.0,Win,1.4389,0,0,
2000-11-06 16:00:00,2.0,1.4377,Yes,Short,1.0,Win,1.4377,0,0,
2000-11-14 16:00:00,25.0,1.4298,Yes,Short,1.0,Loss,1.4298,0,0,
2000-11-15 16:00:00,50.0,1.4278,Yes,Short,1.0,Win,1.4278,0,0,
2000-12-21 16:00:00,85.6,1.4725,Yes,Long,,Win,1.4725,0,0,1.0
2001-01-04 16:00:00,64.4,1.4977,Yes,Short,1.0,Loss,1.4977,0,0,
2001-01-08 16:00:00,83.8,1.5019,Yes,Short,1.0,Win,1.5019,0,0,
2001-01-22 16:00:00,25.0,1.4605,Yes,Short,1.0,Loss,1.4605,0,0,
2001-02-01 16:00:00,25.0,1.4775,Yes,Long,,Win,1.4775,0,0,1.0
2001-02-02 16:00:00,50.0,1.4713,Yes,Short,1.0,Win,1.4713,0,0,
2001-02-06 16:00:00,22.6,1.4633,Yes,Short,1.0,Win,1.4633,0,0,
2001-02-08 16:00:00,1.7,1.4451,Yes,Short,1.0,Win,1.4451,0,0,
2001-02-15 16:00:00,50.0,1.4482,Yes,Short,1.0,Loss,1.4482,0,0,
2001-02-20 16:00:00,0.0,1.441,Yes,Short,1.0,Loss,1.441,0,0,
2001-02-27 16:00:00,25.0,1.4425,Yes,Short,1.0,Loss,1.4425,0,0,
2001-03-02 16:00:00,27.6,1.4735,Yes,Long,,Loss,1.4735,0,0,1.0
2001-03-08 16:00:00,53.9,1.4676,Yes,Long,,Win,1.4676,0,0,1.0
2001-03-09 16:00:00,29.9,1.4674,Yes,Short,1.0,Loss,1.4674,0,0,
2001-03-13 16:00:00,21.4,1.4536,Yes,Short,1.0,Win,1.4536,0,0,
2001-03-14 16:00:00,0.2,1.4506,Yes,Long,,Loss,1.4506,0,0,1.0
2001-03-21 16:00:00,50.0,1.4283,Yes,Short,1.0,Loss,1.4283,0,0,
2001-03-22 16:00:00,25.0,1.42,Yes,Short,1.0,Loss,1.42,0,0,
2001-04-17 16:00:00,27.3,1.4328,Yes,Short,1.0,Win,1.4328,0,0,
2001-05-16 16:00:00,50.0,1.4293,Yes,Long,,Win,1.4293,0,0,1.0
2001-05-22 16:00:00,78.7,1.4301,Yes,Short,1.0,Win,1.4301,0,0,
2001-05-23 16:00:00,28.5,1.4246,Yes,Short,1.0,Win,1.4246,0,0,
2001-05-25 16:00:00,0.0,1.421,Yes,Long,,Win,1.421,0,0,1.0
2001-06-06 16:00:00,25.0,1.4018,Yes,Short,1.0,Win,1.4018,0,0,
2001-06-07 16:00:00,0.0,1.3844,Yes,Short,1.0,Loss,1.3844,0,0,
2001-06-08 16:00:00,25.0,1.3831,Yes,Short,1.0,Win,1.3831,0,0,
2001-06-15 16:00:00,50.0,1.408,Yes,Long,,Loss,1.408,0,0,1.0
2001-06-19 16:00:00,27.8,1.3958,Yes,Short,1.0,Loss,1.3958,0,0,
2001-06-21 16:00:00,24.5,1.4103,Yes,Long,,Win,1.4103,0,0,1.0
2001-06-28 16:00:00,78.8,1.4089,Yes,Short,1.0,Win,1.4089,0,0,
2001-07-09 16:00:00,25.0,1.4062,Yes,Short,1.0,Loss,1.4062,0,0,
2001-07-11 16:00:00,25.0,1.4175,Yes,Long,,Loss,1.4175,0,0,1.0
2001-07-18 16:00:00,25.0,1.4077,Yes,Long,,Win,1.4077,0,0,1.0
2001-07-25 16:00:00,52.5,1.4272,Yes,Long,,Win,1.4272,0,0,1.0
2001-08-06 16:00:00,23.9,1.4204,Yes,Short,1.0,Win,1.4204,0,0,
2001-08-09 16:00:00,25.0,1.4194,Yes,Long,,Win,1.4194,0,0,1.0
2001-08-15 16:00:00,25.0,1.4388,Yes,Long,,Win,1.4388,0,0,1.0
2001-08-21 16:00:00,67.3,1.4498,Yes,Long,,Win,1.4498,0,0,1.0
2001-08-24 16:00:00,62.8,1.4446,Yes,Short,1.0,Win,1.4446,0,0,
2001-09-06 16:00:00,35.2,1.449,Yes,Short,1.0,Loss,1.449,0,0,
2001-09-12 16:00:00,42.8,1.4659,Yes,Short,1.0,Loss,1.4659,0,0,
2001-09-17 16:00:00,87.3,1.4704,Yes,Short,1.0,Win,1.4704,0,0,
2001-09-24 16:00:00,0.0,1.4638,Yes,Long,,Loss,1.4638,0,0,1.0
2001-10-01 16:00:00,38.6,1.4801,Yes,Long,,Loss,1.4801,0,0,1.0
2001-10-08 16:00:00,37.8,1.4737,Yes,Short,1.0,Loss,1.4737,0,0,
2001-10-10 16:00:00,0.0,1.454,Yes,Short,1.0,Win,1.454,0,0,
2001-10-23 16:00:00,25.0,1.422,Yes,Short,1.0,Loss,1.422,0,0,
2001-10-29 16:00:00,25.0,1.4518,Yes,Long,,Win,1.4518,0,0,1.0
