Datetime_Kyiv,Direction,Entry_Price,NY_Sweep_Short,HTF_Bullish_Prob,Outcome,Hold_Bars,NY_Sweep_Long
2000-06-08 16:00:00,Short,1.5183,1.0,25.0,Win,8,
2000-07-27 17:00:00,Long,1.5161,,82.7,Loss,8,1.0
2000-08-23 15:00:00,Short,1.4808,1.0,0.0,Loss,8,
2000-09-26 16:00:00,Long,1.4535,,56.8,Win,8,1.0
2000-09-27 17:00:00,Long,1.463,,88.6,Win,8,1.0
2001-04-16 16:00:00,Short,1.4334,1.0,38.9,Loss,8,
2001-05-29 15:00:00,Short,1.4182,1.0,25.0,Loss,8,
2001-06-05 17:00:00,Short,1.4108,1.0,25.0,Loss,8,
2001-11-07 17:00:00,Long,1.4653,,86.3,Loss,8,1.0
2002-01-08 16:00:00,Short,1.4419,1.0,0.0,Win,8,
2002-01-09 16:00:00,Short,1.4402,1.0,25.0,Win,8,
2002-01-28 15:00:00,Short,1.408,1.0,25.0,Loss,8,
2002-03-13 17:00:00,Short,1.4132,1.0,25.0,Loss,8,
2002-07-10 17:00:00,Long,1.55,,72.8,Loss,8,1.0
2002-08-12 17:00:00,Short,1.5287,1.0,25.0,Loss,8,
2002-08-13 16:00:00,Short,1.529,1.0,25.0,Loss,8,
2002-08-26 15:00:00,Short,1.5204,1.0,25.0,Loss,8,
2002-10-01 16:00:00,Long,1.5728,,59.8,Loss,8,1.0
2002-10-31 15:00:00,Long,1.5601,,55.3,Win,8,1.0
2002-11-12 15:00:00,Long,1.5872,,83.1,Win,8,1.0
2003-04-09 17:00:00,Short,1.5566,1.0,25.0,Loss,8,
2003-06-17 17:00:00,Long,1.6845,,86.9,Loss,8,1.0
2003-10-14 15:00:00,Short,1.6594,1.0,29.8,Loss,8,
2003-10-15 17:00:00,Long,1.6709,,59.0,Loss,8,1.0
2003-11-04 16:00:00,Short,1.6749,1.0,0.5,Loss,8,
2004-01-28 15:00:00,Short,1.8296,1.0,3.7,Win,8,
2004-02-12 15:00:00,Long,1.8916,,94.1,Win,8,1.0
2004-02-18 15:00:00,Long,1.9071,,95.4,Loss,8,1.0
2004-03-10 15:00:00,Short,1.8127,1.0,25.0,Win,8,
2004-04-12 15:00:00,Short,1.8334,1.0,25.2,Loss,8,
2004-06-02 17:00:00,Long,1.8457,,70.7,Loss,8,1.0
2004-11-08 17:00:00,Long,1.858,,70.6,Loss,8,1.0
2005-03-28 16:00:00,Short,1.8615,1.0,0.0,Loss,8,
2005-05-04 15:00:00,Short,1.9016,1.0,0.0,Loss,8,
2005-05-10 15:00:00,Short,1.8836,1.0,0.0,Win,8,
2005-06-16 17:00:00,Short,1.8204,1.0,25.0,Loss,8,
2005-06-23 16:00:00,Short,1.8178,1.0,44.4,Win,8,
2005-08-17 15:00:00,Short,1.8099,1.0,41.6,Win,8,
2005-09-19 16:00:00,Short,1.8025,1.0,0.0,Win,8,
2005-10-13 16:00:00,Short,1.7472,1.0,0.0,Loss,8,
2005-11-09 16:00:00,Short,1.74,1.0,0.0,Loss,8,
2005-11-28 16:00:00,Short,1.7096,1.0,25.0,Loss,8,
2006-01-10 16:00:00,Long,1.7667,,64.8,Loss,8,1.0
2006-03-30 15:00:00,Short,1.7398,1.0,25.0,Loss,8,
2006-06-19 16:00:00,Short,1.843,1.0,0.0,Win,8,
2006-10-24 16:00:00,Short,1.8711,1.0,39.6,Loss,8,
2006-11-16 16:00:00,Short,1.8902,1.0,0.0,Win,8,
2007-03-15 16:00:00,Short,1.9352,1.0,25.0,Loss,8,
2007-04-04 15:00:00,Long,1.9742,,63.9,Win,8,1.0
2007-07-18 17:00:00,Long,2.0491,,93.3,Win,8,1.0
2007-07-31 16:00:00,Short,2.0329,1.0,25.0,Win,8,
2007-08-16 17:00:00,Short,1.9855,1.0,0.0,Win,8,
2007-09-12 16:00:00,Long,2.0316,,84.7,Loss,8,1.0
2008-01-03 15:00:00,Short,1.9756,1.0,28.6,Win,8,
2008-01-29 17:00:00,Long,1.9875,,63.8,Win,8,1.0
2008-03-20 15:00:00,Short,1.9819,1.0,25.0,Loss,8,
2008-04-01 16:00:00,Short,1.982,1.0,0.5,Win,8,
2008-05-14 17:00:00,Short,1.9421,1.0,0.0,Loss,8,
2008-05-28 17:00:00,Long,1.9766,,92.2,Win,8,1.0
2008-07-28 15:00:00,Short,1.987,1.0,0.0,Loss,8,
2008-09-11 17:00:00,Short,1.752,1.0,25.0,Loss,8,
2008-10-06 16:00:00,Short,1.7577,1.0,25.0,Win,8,
2008-10-22 17:00:00,Short,1.6385,1.0,0.0,Win,8,
2009-03-30 16:00:00,Short,1.4183,1.0,14.8,Loss,8,
2009-04-08 15:00:00,Short,1.4684,1.0,22.9,Loss,8,
2009-04-14 16:00:00,Short,1.487,1.0,11.3,Loss,8,
2009-05-06 16:00:00,Long,1.5069,,92.7,Win,8,1.0
2009-06-04 16:00:00,Long,1.6236,,63.8,Loss,8,1.0
2009-06-08 17:00:00,Short,1.591,1.0,8.6,Loss,8,
2009-07-07 16:00:00,Short,1.6223,1.0,0.0,Win,8,
2009-07-13 15:00:00,Short,1.6084,1.0,25.0,Loss,8,
2009-08-11 16:00:00,Short,1.6471,1.0,7.5,Loss,8,
2009-10-13 15:00:00,Short,1.5795,1.0,0.0,Loss,8,
2009-10-19 17:00:00,Short,1.631,1.0,43.5,Loss,8,
2009-10-28 17:00:00,Short,1.6379,1.0,32.4,Loss,8,
2009-11-03 15:00:00,Short,1.6306,1.0,0.0,Loss,8,
2009-11-24 16:00:00,Short,1.6551,1.0,0.0,Loss,8,
2010-01-18 17:00:00,Long,1.6335,,86.0,Win,8,1.0
2010-03-10 16:00:00,Short,1.492,1.0,0.0,Loss,8,
2010-05-03 16:00:00,Short,1.5243,1.0,25.0,Loss,8,
2010-05-06 16:00:00,Short,1.5039,1.0,0.0,Win,8,
2010-05-17 16:00:00,Short,1.4413,1.0,0.0,Loss,8,
2010-05-25 16:00:00,Short,1.4323,1.0,25.0,Loss,8,
2010-07-07 15:00:00,Short,1.5117,1.0,26.6,Loss,8,
2010-07-29 16:00:00,Long,1.5616,,75.3,Loss,8,1.0
2011-04-12 17:00:00,Short,1.63,1.0,42.6,Win,8,
2011-04-25 15:00:00,Short,1.6518,1.0,29.9,Win,8,
2011-04-28 16:00:00,Long,1.6673,,85.0,Loss,8,1.0
2011-06-28 17:00:00,Short,1.5985,1.0,25.0,Loss,8,
2012-04-19 16:00:00,Long,1.60236,,67.4,Win,8,1.0
2012-04-26 15:00:00,Long,1.61869,,91.7,Win,8,1.0
2012-05-03 17:00:00,Short,1.61693,1.0,32.5,Loss,8,
2012-05-24 17:00:00,Short,1.56872,1.0,25.0,Win,8,
2013-08-28 17:00:00,Short,1.55001,1.0,0.0,Loss,8,
2013-09-10 16:00:00,Long,1.57024,,88.5,Win,8,1.0
2013-10-10 16:00:00,Short,1.59394,1.0,0.0,Loss,8,
2013-10-14 15:00:00,Short,1.59826,1.0,25.0,Loss,8,
2013-11-26 17:00:00,Long,1.618,,61.5,Win,8,1.0
2014-01-16 17:00:00,Short,1.63435,1.0,0.0,Loss,8,
2014-02-20 16:00:00,Short,1.66694,1.0,40.6,Win,8,
2014-07-02 17:00:00,Long,1.71542,,67.9,Win,8,1.0
2014-10-08 17:00:00,Short,1.60812,1.0,25.0,Loss,8,
2014-11-05 16:00:00,Short,1.59612,1.0,25.0,Win,8,
2015-01-12 17:00:00,Short,1.51366,1.0,25.0,Loss,8,
2015-02-24 17:00:00,Long,1.54584,,74.5,Loss,8,1.0
2015-03-03 17:00:00,Short,1.53719,1.0,25.6,Win,8,
2015-03-05 15:00:00,Short,1.52281,1.0,0.0,Loss,8,
2015-03-31 15:00:00,Short,1.47781,1.0,1.7,Loss,8,
2015-04-21 17:00:00,Short,1.48825,1.0,10.7,Loss,8,
2015-08-13 16:00:00,Short,1.56114,1.0,25.0,Win,8,
2015-10-27 15:00:00,Short,1.53268,1.0,0.0,Win,8,
2015-11-23 17:00:00,Short,1.51304,1.0,43.3,Win,8,
2015-11-25 16:00:00,Short,1.50886,1.0,0.0,Loss,8,
2016-01-25 17:00:00,Short,1.42677,1.0,25.0,Win,8,
2016-01-27 15:00:00,Short,1.43378,1.0,25.0,Win,8,
2016-04-13 15:00:00,Short,1.42352,1.0,0.0,Win,8,
2016-07-06 15:00:00,Short,1.297,1.0,25.0,Win,8,
2016-08-10 17:00:00,Short,1.30244,1.0,0.0,Win,8,
2016-10-10 15:00:00,Short,1.23903,1.0,0.0,Win,8,
2016-10-11 17:00:00,Short,1.22769,1.0,0.0,Win,8,
2017-04-20 17:00:00,Long,1.28132,,62.7,Loss,8,1.0
2017-08-01 16:00:00,Long,1.32244,,58.0,Loss,8,1.0
2017-08-10 15:00:00,Short,1.29952,1.0,25.0,Win,8,
2017-09-21 15:00:00,Long,1.34841,,64.4,Win,8,1.0
2017-10-11 17:00:00,Short,1.32054,1.0,25.0,Loss,8,
2017-11-29 15:00:00,Long,1.33915,,65.7,Win,8,1.0
2018-01-22 15:00:00,Long,1.39226,,92.8,Win,8,1.0
2018-03-01 16:00:00,Short,1.37397,1.0,0.0,Loss,8,
2018-04-05 15:00:00,Short,1.40285,1.0,25.0,Win,8,
2018-04-11 17:00:00,Long,1.41948,,70.5,Loss,8,1.0
2018-08-02 15:00:00,Short,1.30455,1.0,28.2,Win,8,
2018-11-07 16:00:00,Long,1.31454,,76.8,Loss,8,1.0
2018-11-27 16:00:00,Short,1.27398,1.0,0.0,Win,8,
2019-03-06 15:00:00,Short,1.31365,1.0,15.7,Loss,8,
2019-05-14 15:00:00,Short,1.29494,1.0,0.0,Win,8,
2019-06-17 15:00:00,Short,1.25872,1.0,0.0,Win,8,
2019-07-03 16:00:00,Short,1.25681,1.0,0.0,Loss,8,
2019-07-23 15:00:00,Short,1.24577,1.0,0.0,Win,8,
2019-10-02 16:00:00,Short,1.22662,1.0,0.0,Loss,8,
2020-01-15 17:00:00,Short,1.30222,1.0,25.0,Loss,8,
2020-03-10 15:00:00,Long,1.30263,,61.3,Loss,8,1.0
2020-05-25 16:00:00,Short,1.2184,1.0,25.0,Loss,8,
2020-06-01 15:00:00,Long,1.23889,,71.0,Win,8,1.0
2020-06-03 16:00:00,Long,1.25688,,88.5,Win,8,1.0
2021-02-23 17:00:00,Long,1.41049,,88.9,Win,8,1.0
2021-03-02 15:00:00,Short,1.39111,1.0,3.2,Loss,8,
2021-03-08 16:00:00,Short,1.3828,1.0,0.0,Win,8,
2021-05-12 16:00:00,Long,1.41337,,74.8,Loss,8,1.0
2021-08-02 15:00:00,Long,1.38996,,69.4,Loss,8,1.0
2021-08-16 16:00:00,Short,1.38649,1.0,0.0,Win,8,
2021-09-16 16:00:00,Short,1.38064,1.0,0.0,Win,8,
2021-11-02 15:00:00,Short,1.36322,1.0,0.0,Win,8,
2021-11-11 16:00:00,Short,1.33988,1.0,25.0,Win,8,
2022-03-02 17:00:00,Short,1.33134,1.0,25.0,Loss,8,
2022-05-05 15:00:00,Short,1.23941,1.0,25.0,Win,8,
2022-05-16 15:00:00,Short,1.22588,1.0,25.0,Loss,8,
2022-07-12 15:00:00,Short,1.18333,1.0,0.0,Loss,8,
2022-07-27 17:00:00,Long,1.20483,,85.1,Win,8,1.0
2022-10-11 17:00:00,Short,1.10618,1.0,10.3,Win,8,
2022-11-16 17:00:00,Long,1.1891,,90.4,Win,8,1.0
2023-01-03 17:00:00,Short,1.20085,1.0,25.0,Win,8,
2023-01-19 15:00:00,Long,1.23489,,61.6,Win,8,1.0
2023-01-25 15:00:00,Short,1.2315,1.0,36.2,Loss,8,
2023-03-13 15:00:00,Short,1.20958,1.0,25.0,Loss,8,
2023-05-22 16:00:00,Short,1.24595,1.0,25.0,Win,8,
2023-08-21 17:00:00,Short,1.27392,1.0,0.0,Loss,8,
2024-01-11 15:00:00,Short,1.27105,1.0,25.7,Loss,8,
2024-02-14 16:00:00,Short,1.25511,1.0,25.0,Loss,8,
2024-04-29 16:00:00,Short,1.25295,1.0,31.7,Loss,8,
2024-05-08 15:00:00,Short,1.24837,1.0,37.9,Loss,8,
2024-05-21 17:00:00,Long,1.27109,,96.2,Loss,8,1.0
2024-05-22 16:00:00,Long,1.27264,,71.5,Loss,8,1.0
2024-06-10 16:00:00,Short,1.27124,1.0,27.4,Loss,8,
2024-07-31 15:00:00,Short,1.28345,1.0,25.0,Loss,8,
2024-09-03 17:00:00,Short,1.31251,1.0,8.7,Win,8,
2024-11-25 17:00:00,Short,1.25504,1.0,0.0,Win,8,
2025-01-09 17:00:00,Short,1.23026,1.0,0.0,Win,8,
2025-03-05 15:00:00,Long,1.28223,,60.7,Win,8,1.0
2025-04-16 17:00:00,Long,1.32618,,60.9,Loss,8,1.0
2025-04-22 17:00:00,Long,1.33748,,94.8,Loss,8,1.0
2025-05-26 17:00:00,Long,1.35666,,93.2,Loss,8,1.0
2025-07-28 17:00:00,Short,1.34152,1.0,17.8,Win,8,
2025-08-26 16:00:00,Short,1.34786,1.0,0.0,Loss,8,
2026-02-10 16:00:00,Short,1.3677,1.0,25.0,Win,8,
