Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NY_Sweep_Asia_Low,Outcome,Entry,SL,TP,NY_Sweep_Asia_High
2000-06-01 17:00:00,25.0,1.4958,Yes,Long,1.0,Loss,1.4958,0,0,
2000-06-02 16:00:00,50.0,1.5085,Yes,Short,,Win,1.5085,0,0,1.0
2000-06-05 17:00:00,50.0,1.5101,Yes,Long,1.0,Win,1.5101,0,0,
2000-06-06 22:00:00,50.0,1.5291,Yes,Short,,Win,1.5291,0,0,1.0
2000-06-07 18:00:00,50.0,1.5199,Yes,Long,1.0,Win,1.5199,0,0,
2000-06-08 15:00:00,25.0,1.5215,Yes,Short,,Win,1.5215,0,0,1.0
2000-06-09 15:00:00,0.0,1.5055,Yes,Long,1.0,Win,1.5055,0,0,
2000-06-12 20:00:00,25.0,1.5133,Yes,Short,,Loss,1.5133,0,0,1.0
2000-06-13 16:00:00,25.0,1.5166,Yes,Short,,Win,1.5166,0,0,1.0
2000-06-15 23:00:00,0.0,1.5138,Yes,Short,,Win,1.5138,0,0,1.0
2000-06-16 18:00:00,25.0,1.5157,Yes,Short,,Win,1.5157,0,0,1.0
2000-06-20 22:00:00,25.0,1.5188,Yes,Short,,Win,1.5188,0,0,1.0
2000-06-21 17:00:00,25.0,1.4989,Yes,Long,1.0,Win,1.4989,0,0,
2000-06-22 17:00:00,25.0,1.5138,Yes,Short,,Win,1.5138,0,0,1.0
2000-06-23 19:00:00,25.0,1.5006,Yes,Long,1.0,Win,1.5006,0,0,
2000-06-26 17:00:00,25.0,1.5018,Yes,Short,,Win,1.5018,0,0,1.0
2000-06-28 16:00:00,25.0,1.5079,Yes,Long,1.0,Win,1.5079,0,0,
2000-06-29 18:00:00,50.0,1.5194,Yes,Short,,Win,1.5194,0,0,1.0
2000-07-04 15:00:00,35.5,1.5127,Yes,Long,1.0,Win,1.5127,0,0,
2000-07-07 17:00:00,37.7,1.5141,Yes,Short,,Win,1.5141,0,0,1.0
2000-07-10 17:00:00,32.0,1.5135,Yes,Long,1.0,Loss,1.5135,0,0,
2000-07-12 20:00:00,50.0,1.5072,Yes,Long,1.0,Loss,1.5072,0,0,
2000-07-14 20:00:00,0.0,1.4997,Yes,Long,1.0,Loss,1.4997,0,0,
2000-07-17 15:00:00,0.0,1.4945,Yes,Long,1.0,Win,1.4945,0,0,
2000-07-19 17:00:00,25.0,1.4939,Yes,Long,1.0,Win,1.4939,0,0,
2000-07-20 23:00:00,0.0,1.513,Yes,Short,,Win,1.513,0,0,1.0
2000-07-21 20:00:00,50.0,1.5187,Yes,Short,,Loss,1.5187,0,0,1.0
2000-07-24 19:00:00,50.0,1.5147,Yes,Long,1.0,Loss,1.5147,0,0,
2000-07-26 18:00:00,73.8,1.5179,Yes,Short,,Win,1.5179,0,0,1.0
2000-07-27 18:00:00,82.7,1.5157,Yes,Short,,Win,1.5157,0,0,1.0
2000-07-28 16:00:00,33.8,1.5028,Yes,Long,1.0,Win,1.5028,0,0,
2000-08-01 23:00:00,0.0,1.4925,Yes,Long,1.0,Win,1.4925,0,0,
2000-08-02 22:00:00,25.0,1.4927,Yes,Long,1.0,Win,1.4927,0,0,
2000-08-04 18:00:00,0.0,1.5072,Yes,Short,,Win,1.5072,0,0,1.0
2000-08-08 19:00:00,50.0,1.5032,Yes,Long,1.0,Loss,1.5032,0,0,
2000-08-09 18:00:00,50.0,1.5018,Yes,Short,,Loss,1.5018,0,0,1.0
2000-08-10 21:00:00,0.5,1.4967,Yes,Long,1.0,Win,1.4967,0,0,
2000-08-14 16:00:00,60.1,1.5061,Yes,Short,,Win,1.5061,0,0,1.0
2000-08-15 17:00:00,39.1,1.5048,Yes,Long,1.0,Loss,1.5048,0,0,
2000-08-16 16:00:00,58.6,1.5013,Yes,Long,1.0,Loss,1.5013,0,0,
2000-08-17 19:00:00,0.0,1.4994,Yes,Long,1.0,Loss,1.4994,0,0,
2000-08-18 19:00:00,0.0,1.49,Yes,Long,1.0,Win,1.49,0,0,
2000-08-21 15:00:00,0.0,1.492,Yes,Short,,Win,1.492,0,0,1.0
2000-08-22 19:00:00,0.0,1.481,Yes,Long,1.0,Win,1.481,0,0,
2000-08-24 19:00:00,0.0,1.4807,Yes,Long,1.0,Win,1.4807,0,0,
2000-08-28 16:00:00,0.0,1.4725,Yes,Short,,Win,1.4725,0,0,1.0
2000-09-01 18:00:00,25.0,1.4611,Yes,Short,,Win,1.4611,0,0,1.0
2000-09-04 19:00:00,50.0,1.4598,Yes,Long,1.0,Loss,1.4598,0,0,
2000-09-07 17:00:00,0.0,1.4387,Yes,Short,,Loss,1.4387,0,0,1.0
2000-09-12 16:00:00,0.0,1.4087,Yes,Long,1.0,Loss,1.4087,0,0,
2000-09-13 16:00:00,0.0,1.41,Yes,Short,,Win,1.41,0,0,1.0
2000-09-14 19:00:00,0.0,1.406,Yes,Long,1.0,Win,1.406,0,0,
2000-09-19 21:00:00,0.0,1.4118,Yes,Short,,Win,1.4118,0,0,1.0
2000-09-25 17:00:00,74.7,1.4539,Yes,Long,1.0,Loss,1.4539,0,0,
2000-09-26 23:00:00,59.1,1.464,Yes,Short,,Win,1.464,0,0,1.0
2000-09-27 19:00:00,89.6,1.4612,Yes,Long,1.0,Win,1.4612,0,0,
2000-09-28 20:00:00,93.5,1.4637,Yes,Long,1.0,Win,1.4637,0,0,
2000-09-29 18:00:00,94.2,1.4786,Yes,Short,,Win,1.4786,0,0,1.0
2000-10-03 19:00:00,61.8,1.4569,Yes,Long,1.0,Win,1.4569,0,0,
2000-10-04 22:00:00,23.9,1.4598,Yes,Short,,Win,1.4598,0,0,1.0
2000-10-06 20:00:00,0.0,1.4437,Yes,Long,1.0,Win,1.4437,0,0,
2000-10-09 17:00:00,0.0,1.4473,Yes,Long,1.0,Win,1.4473,0,0,
2000-10-10 18:00:00,25.0,1.4488,Yes,Long,1.0,Win,1.4488,0,0,
2000-10-11 18:00:00,25.0,1.4654,Yes,Short,,Win,1.4654,0,0,1.0
2000-10-12 19:00:00,25.0,1.473,Yes,Short,,Win,1.473,0,0,1.0
2000-10-13 21:00:00,50.0,1.4522,Yes,Long,1.0,Win,1.4522,0,0,
2000-10-18 15:00:00,0.0,1.4517,Yes,Short,,Win,1.4517,0,0,1.0
2000-10-19 15:00:00,50.0,1.446,Yes,Long,1.0,Win,1.446,0,0,
2000-10-20 17:00:00,25.0,1.4472,Yes,Long,1.0,Win,1.4472,0,0,
2000-10-23 19:00:00,50.0,1.4559,Yes,Long,1.0,Loss,1.4559,0,0,
2000-10-24 17:00:00,50.0,1.4485,Yes,Long,1.0,Win,1.4485,0,0,
2000-10-25 19:00:00,0.0,1.434,Yes,Long,1.0,Loss,1.434,0,0,
2000-10-26 20:00:00,0.0,1.4377,Yes,Short,,Win,1.4377,0,0,1.0
2000-10-30 19:00:00,50.0,1.4516,Yes,Short,,Win,1.4516,0,0,1.0
2000-10-31 15:00:00,50.0,1.4526,Yes,Short,,Win,1.4526,0,0,1.0
2000-11-01 17:00:00,25.1,1.4481,Yes,Short,,Loss,1.4481,0,0,1.0
2000-11-06 19:00:00,2.6,1.4257,Yes,Long,1.0,Win,1.4257,0,0,
2000-11-07 15:00:00,0.1,1.4277,Yes,Long,1.0,Win,1.4277,0,0,
2000-11-08 19:00:00,0.0,1.423,Yes,Long,1.0,Loss,1.423,0,0,
2000-11-09 20:00:00,0.0,1.4313,Yes,Short,,Win,1.4313,0,0,1.0
2000-11-10 15:00:00,0.0,1.4329,Yes,Short,,Win,1.4329,0,0,1.0
2000-11-13 17:00:00,25.0,1.4394,Yes,Short,,Win,1.4394,0,0,1.0
2000-11-14 16:00:00,25.0,1.4298,Yes,Long,1.0,Win,1.4298,0,0,
2000-11-15 18:00:00,50.0,1.4267,Yes,Long,1.0,Win,1.4267,0,0,
2000-11-17 17:00:00,25.0,1.4236,Yes,Long,1.0,Win,1.4236,0,0,
2000-11-20 18:00:00,50.0,1.4225,Yes,Long,1.0,Win,1.4225,0,0,
2000-11-21 16:00:00,25.0,1.418,Yes,Long,1.0,Win,1.418,0,0,
2000-11-22 18:00:00,0.0,1.4105,Yes,Long,1.0,Loss,1.4105,0,0,
2000-11-23 17:00:00,0.0,1.4007,Yes,Long,1.0,Loss,1.4007,0,0,
2000-11-24 16:00:00,0.0,1.4005,Yes,Long,1.0,Win,1.4005,0,0,
2000-11-27 16:00:00,25.0,1.4165,Yes,Short,,Loss,1.4165,0,0,1.0
2000-11-29 15:00:00,50.0,1.4225,Yes,Short,,Loss,1.4225,0,0,1.0
2000-11-30 21:00:00,50.0,1.4255,Yes,Short,,Loss,1.4255,0,0,1.0
2000-12-05 23:00:00,62.8,1.4314,Yes,Long,1.0,Win,1.4314,0,0,
2000-12-07 18:00:00,91.5,1.4405,Yes,Long,1.0,Win,1.4405,0,0,
2000-12-14 23:00:00,24.5,1.4741,Yes,Short,,Loss,1.4741,0,0,1.0
2000-12-15 15:00:00,25.0,1.4707,Yes,Long,1.0,Win,1.4707,0,0,
2000-12-20 21:00:00,36.7,1.4786,Yes,Short,,Win,1.4786,0,0,1.0
2000-12-26 21:00:00,47.2,1.4845,Yes,Short,,Loss,1.4845,0,0,1.0
2000-12-29 15:00:00,81.5,1.4897,Yes,Long,1.0,Win,1.4897,0,0,
