Datetime_Kyiv,Direction,Entry_Price,Retail_Div_Long,Outcome,Hold_Bars
2002-07-18 11:00:00,Long,1.5648,1.0,Win,8
2005-03-17 11:00:00,Long,1.9256,1.0,Loss,8
2007-09-20 11:00:00,Long,2.0052,1.0,Win,8
2010-01-22 11:00:00,Long,1.6222,1.0,Loss,8
2012-06-21 11:00:00,Long,1.56713,1.0,Loss,8
2014-02-20 11:00:00,Long,1.66411,1.0,Win,8
2019-02-15 11:00:00,Long,1.28119,1.0,Win,8
2019-11-14 11:00:00,Long,1.28502,1.0,Win,8
2021-09-17 09:00:00,Long,1.38059,1.0,Loss,8
2023-01-20 09:00:00,Long,1.23635,1.0,Win,8
2024-02-16 09:00:00,Long,1.25899,1.0,Loss,8
2024-11-21 09:00:00,Long,1.2648,1.0,Loss,8
2025-05-23 09:00:00,Long,1.34561,1.0,Win,8
2026-02-20 09:00:00,Long,1.34457,1.0,Win,8
