Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Sovereign_Risk_Short,Outcome,Entry,SL,TP
2015-03-26 02:00:00,4.0,1.48765,Yes,Short,1,Loss,1.48765,1.48965,1.48365
2015-03-26 04:00:00,4.0,1.48745,Yes,Short,1,Loss,1.48745,1.48945,1.48345
2015-11-13 02:00:00,25.0,1.52289,Yes,Short,1,Loss,1.52289,1.52489,1.51889
2015-11-13 16:00:00,25.0,1.52193,Yes,Short,1,Loss,1.52193,1.52393,1.51793
2016-03-22 02:00:00,40.0,1.43653,Yes,Short,1,Loss,1.43653,1.43853,1.43253
2016-03-22 06:00:00,40.3,1.43763,Yes,Short,1,Loss,1.43763,1.43963,1.43363
2016-06-24 03:00:00,83.8,1.45589,Yes,Short,1,Loss,1.45589,1.45789,1.45189
2016-06-24 04:00:00,83.8,1.45238,Yes,Short,1,Loss,1.45238,1.45438,1.44838
2017-11-02 05:00:00,30.8,1.32823,Yes,Short,1,Win,1.32823,1.33023,1.32423
2018-08-02 03:00:00,34.5,1.31243,Yes,Short,1,Win,1.31243,1.31443,1.30843
2019-03-15 02:00:00,25.0,1.32418,Yes,Short,1,Loss,1.32418,1.32618,1.32018
2019-03-15 12:00:00,25.1,1.32543,Yes,Short,1,Loss,1.32543,1.32743,1.32143
2019-04-11 04:00:00,25.0,1.30966,Yes,Short,1,Win,1.30966,1.31166,1.30566
2020-08-18 05:00:00,0.0,1.3129,Yes,Short,1,Loss,1.3129,1.3149,1.3089
2020-08-18 14:00:00,0.0,1.31608,Yes,Short,1,Loss,1.31608,1.31808,1.31208
2021-02-01 06:00:00,70.8,1.37321,Yes,Short,1,Loss,1.37321,1.37521,1.36921
2021-02-01 08:00:00,70.8,1.37406,Yes,Short,1,Win,1.37406,1.37606,1.37006
2021-05-24 03:00:00,62.4,1.41398,Yes,Short,1,Loss,1.41398,1.41598,1.40998
2021-05-24 10:00:00,61.4,1.41514,Yes,Short,1,Loss,1.41514,1.41714,1.41114
2021-08-18 07:00:00,50.0,1.37525,Yes,Short,1,Loss,1.37525,1.37725,1.37125
2021-08-18 23:00:00,25.0,1.37572,Yes,Short,1,Win,1.37572,1.37772,1.37172
2021-09-06 01:00:00,84.8,1.38504,Yes,Short,1,Win,1.38504,1.38704,1.38104
2021-12-16 02:00:00,50.0,1.3255,Yes,Short,1,Loss,1.3255,1.3275,1.3215
2021-12-16 11:00:00,0.0,1.32917,Yes,Short,1,Loss,1.32917,1.33117,1.32517
2022-01-24 02:00:00,25.0,1.35531,Yes,Short,1,Win,1.35531,1.35731,1.35131
2022-02-03 02:00:00,50.0,1.35594,Yes,Short,1,Loss,1.35594,1.35794,1.35194
2022-02-03 18:00:00,50.0,1.36016,Yes,Short,1,Win,1.36016,1.36216,1.35616
2022-02-24 02:00:00,37.0,1.35297,Yes,Short,1,Win,1.35297,1.35497,1.34897
2022-07-05 04:00:00,50.0,1.21109,Yes,Short,1,Win,1.21109,1.21309,1.20709
2022-09-23 05:00:00,0.0,1.12534,Yes,Short,1,Win,1.12534,1.12734,1.12134
2022-09-30 04:00:00,50.0,1.1157,Yes,Short,1,Win,1.1157,1.1177,1.1117
2022-10-14 03:00:00,25.0,1.13009,Yes,Short,1,Loss,1.13009,1.13209,1.12609
2022-10-14 06:00:00,25.0,1.1328,Yes,Short,1,Loss,1.1328,1.1348,1.1288
2022-10-19 04:00:00,26.9,1.13405,Yes,Short,1,Win,1.13405,1.13605,1.13005
2023-03-15 05:00:00,54.6,1.21724,Yes,Short,1,Win,1.21724,1.21924,1.21324
2023-05-24 03:00:00,0.0,1.24161,Yes,Short,1,Loss,1.24161,1.24361,1.23761
2023-05-24 11:00:00,0.0,1.24095,Yes,Short,1,Loss,1.24095,1.24295,1.23695
2023-06-21 04:00:00,43.3,1.27588,Yes,Short,1,Loss,1.27588,1.27788,1.27188
2023-06-21 11:00:00,42.1,1.27357,Yes,Short,1,Loss,1.27357,1.27557,1.26957
2023-06-22 04:00:00,38.2,1.27685,Yes,Short,1,Loss,1.27685,1.27885,1.27285
2023-06-22 14:00:00,36.5,1.27827,Yes,Short,1,Win,1.27827,1.28027,1.27427
2023-08-03 04:00:00,0.0,1.27132,Yes,Short,1,Win,1.27132,1.27332,1.26732
2023-09-21 03:00:00,25.0,1.23267,Yes,Short,1,Win,1.23267,1.23467,1.22867
2023-12-20 02:00:00,24.3,1.2724,Yes,Short,1,Win,1.2724,1.2744,1.2684
2025-02-07 02:00:00,25.0,1.2424,Yes,Short,1,Loss,1.2424,1.2444,1.2384
2025-02-07 11:00:00,25.0,1.2459,Yes,Short,1,Loss,1.2459,1.2479,1.2419
2025-12-17 02:00:00,46.8,1.34206,Yes,Short,1,Win,1.34206,1.34406,1.33806
