Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Judas_Long,Outcome,Entry,SL,TP,Judas_Short
2000-06-05 14:00:00,50.0,1.5124,Yes,Long,1.0,Loss,1.5124,1.5087,1.5198,
2000-06-05 18:00:00,50.0,1.5121,Yes,Long,1.0,Win,1.5121,1.508,1.5203,
2000-06-06 16:00:00,50.0,1.5191,Yes,Long,1.0,Loss,1.5191,1.5121,1.5331,
2000-06-07 12:00:00,50.0,1.5255,Yes,Short,,Win,1.5255,1.529,1.5185,1.0
2000-06-08 15:00:00,25.0,1.5215,Yes,Long,1.0,Loss,1.5215,1.5167,1.5311,
2000-06-13 12:00:00,25.0,1.5137,Yes,Short,,Win,1.5137,1.5181,1.5049,1.0
2000-06-14 11:00:00,33.5,1.5111,Yes,Long,1.0,Loss,1.5111,1.5071,1.5191,
2000-06-14 12:00:00,33.5,1.5056,Yes,Short,,Loss,1.5056,1.5116,1.4936,1.0
2000-06-15 12:00:00,0.0,1.503,Yes,Long,1.0,Win,1.503,1.4965,1.516,
2000-06-19 10:00:00,50.0,1.5154,Yes,Long,1.0,Loss,1.5154,1.5132,1.5198,
2000-06-19 13:00:00,50.0,1.5138,Yes,Long,1.0,Loss,1.5138,1.5117,1.518,
2000-06-20 13:00:00,25.0,1.5111,Yes,Short,,Loss,1.5111,1.5148,1.5037,1.0
2000-06-22 12:00:00,25.0,1.5029,Yes,Long,1.0,Win,1.5029,1.4978,1.5131,
2000-06-26 10:00:00,25.0,1.5029,Yes,Long,1.0,Loss,1.5029,1.5006,1.5075,
2000-06-26 12:00:00,25.0,1.5024,Yes,Long,1.0,Loss,1.5024,1.4992,1.5088,
2000-06-27 13:00:00,0.0,1.499,Yes,Short,,Win,1.499,1.5006,1.495,1.0
2000-06-28 11:00:00,25.0,1.5046,Yes,Long,1.0,Loss,1.5046,1.5033,1.5086,
2000-06-28 16:00:00,25.0,1.5079,Yes,Long,1.0,Win,1.5079,1.503,1.5177,
2000-07-04 10:00:00,34.5,1.5128,Yes,Short,,Loss,1.5128,1.5142,1.5088,1.0
2000-07-04 12:00:00,34.9,1.5133,Yes,Short,,Loss,1.5133,1.5147,1.5093,1.0
2000-07-05 12:00:00,48.2,1.5145,Yes,Short,,Loss,1.5145,1.5161,1.5105,1.0
2000-07-05 14:00:00,48.2,1.5141,Yes,Short,,Win,1.5141,1.517,1.5083,1.0
2000-07-10 14:00:00,32.4,1.5158,Yes,Short,,Win,1.5158,1.5195,1.5084,1.0
2000-07-11 17:00:00,50.1,1.515,Yes,Long,1.0,Loss,1.515,1.5116,1.5218,
2000-07-12 17:00:00,50.0,1.5167,Yes,Long,1.0,Loss,1.5167,1.513,1.5241,
2000-07-13 15:00:00,25.0,1.5038,Yes,Long,1.0,Loss,1.5038,1.5007,1.51,
2000-07-17 14:00:00,0.0,1.4995,Yes,Long,1.0,Loss,1.4995,1.4963,1.5059,
2000-07-18 11:00:00,0.0,1.4933,Yes,Long,1.0,Win,1.4933,1.4915,1.4973,
2000-07-19 10:00:00,25.0,1.4961,Yes,Long,1.0,Loss,1.4961,1.4942,1.5001,
2000-07-19 12:00:00,25.0,1.4975,Yes,Long,1.0,Loss,1.4975,1.4937,1.5051,
2000-07-20 10:00:00,25.0,1.4984,Yes,Long,1.0,Loss,1.4984,1.4965,1.5024,
2000-07-20 11:00:00,25.0,1.4968,Yes,Short,,Win,1.4968,1.4988,1.4928,1.0
2000-07-24 11:00:00,50.0,1.5186,Yes,Short,,Loss,1.5186,1.5218,1.5122,1.0
2000-07-25 10:00:00,51.1,1.5161,Yes,Short,,Loss,1.5161,1.5174,1.5121,1.0
2000-07-25 14:00:00,52.1,1.515,Yes,Short,,Loss,1.515,1.5182,1.5086,1.0
2000-07-26 14:00:00,69.6,1.519,Yes,Short,,Win,1.519,1.5224,1.5122,1.0
2000-07-27 10:00:00,81.5,1.5147,Yes,Short,,Loss,1.5147,1.5167,1.5107,1.0
2000-07-27 14:00:00,82.4,1.5155,Yes,Short,,Win,1.5155,1.5175,1.5115,1.0
2000-08-01 11:00:00,1.7,1.4966,Yes,Long,1.0,Win,1.4966,1.494,1.5018,
2000-08-02 18:00:00,25.0,1.4941,Yes,Long,1.0,Loss,1.4941,1.4869,1.5085,
2000-08-03 12:00:00,25.0,1.4947,Yes,Short,,Win,1.4947,1.4995,1.4851,1.0
2000-08-07 11:00:00,50.0,1.5059,Yes,Long,1.0,Loss,1.5059,1.5006,1.5165,
2000-08-09 10:00:00,50.0,1.5042,Yes,Long,1.0,Loss,1.5042,1.502,1.5086,
2000-08-09 18:00:00,50.0,1.5018,Yes,Short,,Win,1.5018,1.5041,1.4972,1.0
2000-08-10 10:00:00,0.0,1.5018,Yes,Short,,Win,1.5018,1.5037,1.4978,1.0
2000-08-14 10:00:00,35.7,1.5017,Yes,Short,,Loss,1.5017,1.503,1.4977,1.0
2000-08-15 12:00:00,37.3,1.5097,Yes,Short,,Win,1.5097,1.5143,1.5005,1.0
2000-08-16 12:00:00,59.6,1.5047,Yes,Long,1.0,Loss,1.5047,1.5009,1.5123,
2000-08-17 11:00:00,0.6,1.4997,Yes,Long,1.0,Loss,1.4997,1.4983,1.5037,
2000-08-17 14:00:00,0.6,1.499,Yes,Long,1.0,Loss,1.499,1.4981,1.503,
2000-08-21 10:00:00,0.0,1.491,Yes,Short,,Loss,1.491,1.4926,1.487,1.0
2000-08-21 12:00:00,0.0,1.4914,Yes,Short,,Loss,1.4914,1.4926,1.4874,1.0
2000-08-23 12:00:00,0.0,1.4787,Yes,Long,1.0,Win,1.4787,1.4766,1.4829,
2000-08-24 16:00:00,0.0,1.4825,Yes,Long,1.0,Loss,1.4825,1.4774,1.4927,
2000-08-28 10:00:00,0.0,1.4731,Yes,Long,1.0,Loss,1.4731,1.4705,1.4783,
2000-08-28 14:00:00,0.0,1.4713,Yes,Long,1.0,Loss,1.4713,1.4694,1.4753,
2000-08-29 10:00:00,25.0,1.4714,Yes,Short,,Win,1.4714,1.4725,1.4674,1.0
2000-08-30 10:00:00,0.0,1.4486,Yes,Long,1.0,Loss,1.4486,1.4468,1.4526,
2000-08-30 15:00:00,0.0,1.4508,Yes,Long,1.0,Win,1.4508,1.4436,1.4652,
2000-08-31 12:00:00,0.0,1.4547,Yes,Long,1.0,Loss,1.4547,1.4529,1.4587,
2000-08-31 18:00:00,0.0,1.4553,Yes,Long,1.0,Loss,1.4553,1.452,1.4619,
2000-09-07 11:00:00,0.0,1.433,Yes,Short,,Loss,1.433,1.4405,1.418,1.0
2000-09-07 17:00:00,0.0,1.4387,Yes,Short,,Win,1.4387,1.442,1.4321,1.0
2000-09-11 11:00:00,0.0,1.4198,Yes,Short,,Win,1.4198,1.4236,1.4122,1.0
2000-09-12 10:00:00,0.0,1.4042,Yes,Long,1.0,Loss,1.4042,1.399,1.4146,
2000-09-12 12:00:00,0.0,1.4017,Yes,Long,1.0,Win,1.4017,1.3954,1.4143,
2000-09-13 11:00:00,0.0,1.4086,Yes,Short,,Loss,1.4086,1.4103,1.4046,1.0
2000-09-13 13:00:00,0.0,1.4082,Yes,Short,,Loss,1.4082,1.411,1.4026,1.0
2000-09-14 11:00:00,25.0,1.4079,Yes,Long,1.0,Win,1.4079,1.403,1.4177,
2000-09-18 11:00:00,25.0,1.4017,Yes,Long,1.0,Win,1.4017,1.3963,1.4125,
2000-09-19 14:00:00,0.0,1.4029,Yes,Long,1.0,Win,1.4029,1.4008,1.4071,
2000-09-20 11:00:00,50.0,1.4099,Yes,Short,,Loss,1.4099,1.4114,1.4059,1.0
2000-09-25 13:00:00,71.9,1.4624,Yes,Long,1.0,Loss,1.4624,1.4539,1.4794,
2000-09-26 15:00:00,56.8,1.453,Yes,Short,,Loss,1.453,1.4585,1.442,1.0
2000-09-27 14:00:00,87.4,1.4656,Yes,Short,,Win,1.4656,1.468,1.4608,1.0
2000-09-28 11:00:00,92.5,1.4647,Yes,Long,1.0,Loss,1.4647,1.4626,1.4689,
2000-10-02 12:00:00,93.3,1.4745,Yes,Short,,Win,1.4745,1.478,1.4675,1.0
2000-10-03 10:00:00,65.4,1.4647,Yes,Short,,Win,1.4647,1.468,1.4581,1.0
2000-10-04 17:00:00,26.4,1.4597,Yes,Long,1.0,Loss,1.4597,1.4549,1.4693,
2000-10-05 11:00:00,39.5,1.4585,Yes,Long,1.0,Loss,1.4585,1.4574,1.4625,
2000-10-09 10:00:00,0.0,1.4474,Yes,Short,,Loss,1.4474,1.4486,1.4434,1.0
2000-10-09 14:00:00,0.0,1.4472,Yes,Short,,Loss,1.4472,1.4489,1.4432,1.0
2000-10-10 18:00:00,25.0,1.4488,Yes,Short,,Loss,1.4488,1.458,1.4304,1.0
2000-10-11 11:00:00,25.0,1.4591,Yes,Short,,Loss,1.4591,1.4605,1.4551,1.0
2000-10-12 16:00:00,25.0,1.4644,Yes,Long,1.0,Win,1.4644,1.4592,1.4748,
2000-10-16 10:00:00,25.1,1.4521,Yes,Long,1.0,Loss,1.4521,1.4498,1.4567,
2000-10-18 15:00:00,0.0,1.4517,Yes,Long,1.0,Loss,1.4517,1.4437,1.4677,
