Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Tokyo_Trap_Short,Outcome,Entry,SL,TP,Tokyo_Trap_Long
2000-09-11 11:00:00,0.0,1.4198,Yes,Short,1.0,Win,1.4198,0,0,
2000-12-21 10:00:00,86.8,1.4692,Yes,Long,,Win,1.4692,0,0,1.0
2001-01-04 10:00:00,64.3,1.5015,Yes,Short,1.0,Win,1.5015,0,0,
2001-01-08 10:00:00,83.8,1.5076,Yes,Short,1.0,Win,1.5076,0,0,
2001-02-01 10:00:00,25.0,1.4711,Yes,Short,1.0,Loss,1.4711,0,0,
2001-02-02 10:00:00,50.0,1.4824,Yes,Short,1.0,Win,1.4824,0,0,
2001-02-12 10:00:00,0.0,1.4519,Yes,Short,1.0,Loss,1.4519,0,0,
2001-05-31 11:00:00,25.0,1.4206,Yes,Long,,Loss,1.4206,0,0,1.0
2001-06-08 11:00:00,0.0,1.381,Yes,Long,,Win,1.381,0,0,1.0
2001-07-13 11:00:00,0.0,1.4022,Yes,Long,,Loss,1.4022,0,0,1.0
2001-07-16 11:00:00,0.0,1.4007,Yes,Long,,Win,1.4007,0,0,1.0
2001-09-04 11:00:00,33.6,1.4485,Yes,Long,,Loss,1.4485,0,0,1.0
2001-09-21 11:00:00,27.8,1.4587,Yes,Long,,Loss,1.4587,0,0,1.0
2001-10-29 10:00:00,25.0,1.4464,Yes,Short,1.0,Loss,1.4464,0,0,
2001-11-05 10:00:00,65.6,1.4566,Yes,Long,,Win,1.4566,0,0,1.0
2001-11-07 10:00:00,86.5,1.4664,Yes,Short,1.0,Win,1.4664,0,0,
2001-11-13 10:00:00,16.0,1.4497,Yes,Long,,Loss,1.4497,0,0,1.0
2002-03-12 10:00:00,45.4,1.4153,Yes,Long,,Loss,1.4153,0,0,1.0
2002-04-17 11:00:00,41.1,1.4446,Yes,Short,1.0,Win,1.4446,0,0,
2002-04-23 11:00:00,67.7,1.4488,Yes,Long,,Win,1.4488,0,0,1.0
2002-05-14 11:00:00,25.0,1.4511,Yes,Long,,Loss,1.4511,0,0,1.0
2002-05-23 11:00:00,52.7,1.4568,Yes,Long,,Loss,1.4568,0,0,1.0
2002-06-06 11:00:00,9.4,1.4567,Yes,Long,,Loss,1.4567,0,0,1.0
2002-06-11 11:00:00,25.0,1.4667,Yes,Short,1.0,Loss,1.4667,0,0,
2002-06-26 11:00:00,70.8,1.5243,Yes,Short,1.0,Win,1.5243,0,0,
2002-07-02 11:00:00,69.3,1.5238,Yes,Long,,Win,1.5238,0,0,1.0
2002-07-08 11:00:00,46.8,1.5317,Yes,Short,1.0,Loss,1.5317,0,0,
2002-07-10 11:00:00,71.6,1.5517,Yes,Short,1.0,Win,1.5517,0,0,
2002-07-15 11:00:00,61.3,1.5569,Yes,Short,1.0,Loss,1.5569,0,0,
2002-07-19 11:00:00,43.0,1.5818,Yes,Short,1.0,Win,1.5818,0,0,
2002-07-23 11:00:00,89.3,1.564,Yes,Long,,Win,1.564,0,0,1.0
2002-07-24 11:00:00,52.9,1.5638,Yes,Long,,Win,1.5638,0,0,1.0
