Datetime_Kyiv,Direction,Entry_Price,Thursday_Trend_Short,Outcome,Hold_Bars,Thursday_Trend_Long
2000-06-22 11:00:00,Short,1.4989,1.0,Loss,8,
2000-06-29 11:00:00,Long,1.5121,,Win,8,1.0
2000-07-06 11:00:00,Short,1.5108,1.0,Loss,8,
2000-07-13 11:00:00,Short,1.5048,1.0,Win,8,
2000-08-03 11:00:00,Short,1.4984,1.0,Win,8,
2000-08-24 11:00:00,Short,1.481,1.0,Win,8,
2000-08-31 11:00:00,Short,1.4538,1.0,Win,8,
2000-09-07 11:00:00,Short,1.433,1.0,Loss,8,
2000-09-21 11:00:00,Long,1.4156,,Win,8,1.0
2000-10-05 11:00:00,Short,1.4585,1.0,Win,8,
2000-10-12 11:00:00,Long,1.4612,,Win,8,1.0
2000-10-19 11:00:00,Short,1.4473,1.0,Win,8,
2000-10-26 11:00:00,Short,1.4238,1.0,Loss,8,
2000-11-09 10:00:00,Short,1.4176,1.0,Loss,8,
2000-11-23 10:00:00,Short,1.4036,1.0,Win,8,
2000-11-30 10:00:00,Long,1.4229,,Loss,8,1.0
2000-12-28 10:00:00,Long,1.4924,,Loss,8,1.0
2001-01-04 10:00:00,Short,1.5015,1.0,Win,8,
2001-01-11 10:00:00,Short,1.4882,1.0,Loss,8,
2001-01-25 10:00:00,Short,1.4553,1.0,Loss,8,
2001-02-08 10:00:00,Short,1.4548,1.0,Win,8,
2001-02-15 10:00:00,Long,1.4582,,Loss,8,1.0
2001-03-01 10:00:00,Short,1.4476,1.0,Loss,8,
2001-03-08 10:00:00,Short,1.4654,1.0,Loss,8,
2001-03-15 10:00:00,Short,1.447,1.0,Win,8,
2001-03-29 11:00:00,Long,1.4411,,Loss,8,1.0
2001-04-05 11:00:00,Long,1.4349,,Loss,8,1.0
2001-04-19 11:00:00,Short,1.4286,1.0,Loss,8,
2001-05-10 11:00:00,Short,1.4218,1.0,Win,8,
2001-05-17 11:00:00,Long,1.4311,,Win,8,1.0
2001-05-24 11:00:00,Short,1.4146,1.0,Win,8,
2001-05-31 11:00:00,Long,1.4206,,Loss,8,1.0
2001-06-07 11:00:00,Short,1.3929,1.0,Win,8,
2001-06-14 11:00:00,Long,1.3921,,Win,8,1.0
2001-06-21 11:00:00,Short,1.4039,1.0,Loss,8,
2001-07-05 11:00:00,Short,1.4036,1.0,Win,8,
2001-07-19 11:00:00,Long,1.4186,,Win,8,1.0
2001-08-02 11:00:00,Long,1.4343,,Loss,8,1.0
2001-08-09 11:00:00,Short,1.4164,1.0,Loss,8,
2001-08-16 11:00:00,Long,1.4486,,Loss,8,1.0
2001-08-30 11:00:00,Long,1.4502,,Win,8,1.0
2001-09-13 11:00:00,Long,1.4663,,Win,8,1.0
2001-09-27 11:00:00,Long,1.4744,,Loss,8,1.0
2001-10-11 11:00:00,Short,1.4526,1.0,Loss,8,
2001-10-18 11:00:00,Short,1.448,1.0,Loss,8,
2001-10-25 11:00:00,Short,1.4275,1.0,Loss,8,
2001-11-01 10:00:00,Long,1.454,,Loss,8,1.0
2001-11-15 10:00:00,Short,1.4417,1.0,Loss,8,
2001-11-22 10:00:00,Short,1.417,1.0,Loss,8,
2001-11-29 10:00:00,Long,1.4259,,Loss,8,1.0
2001-12-06 10:00:00,Short,1.4158,1.0,Loss,8,
2001-12-13 10:00:00,Long,1.4415,,Loss,8,1.0
