Datetime_Kyiv,Direction,Entry_Price,Tuesday_Resumption_Long,Outcome,Hold_Bars,Tuesday_Resumption_Short
2018-01-30 10:00:00,Long,1.40251,1.0,Win,8,
2018-02-06 10:00:00,Long,1.39823,1.0,Loss,8,
2018-02-13 10:00:00,Short,1.38536,,Loss,8,1.0
2018-02-20 10:00:00,Long,1.39548,1.0,Win,8,
2018-02-27 10:00:00,Long,1.39801,1.0,Loss,8,
2018-03-06 10:00:00,Short,1.38251,,Loss,8,1.0
2018-04-03 11:00:00,Short,1.40817,,Win,8,1.0
2018-05-08 11:00:00,Short,1.3532,,Win,8,1.0
2018-05-22 11:00:00,Short,1.34487,,Win,8,1.0
2018-06-05 11:00:00,Long,1.33219,1.0,Win,8,
2018-06-12 11:00:00,Long,1.33955,1.0,Win,8,
2018-07-10 11:00:00,Long,1.32875,1.0,Loss,8,
2018-07-17 11:00:00,Short,1.32401,,Win,8,1.0
2018-07-31 11:00:00,Short,1.31395,,Win,8,1.0
2018-08-14 11:00:00,Short,1.28093,,Win,8,1.0
2018-08-21 11:00:00,Short,1.28283,,Loss,8,1.0
2018-09-04 11:00:00,Long,1.28331,1.0,Loss,8,
2018-10-09 11:00:00,Long,1.30581,1.0,Win,8,
2018-11-13 10:00:00,Short,1.29063,,Loss,8,1.0
2018-12-18 10:00:00,Short,1.26391,,Win,8,1.0
2018-12-25 10:00:00,Long,1.26544,1.0,Loss,8,
2019-01-08 10:00:00,Short,1.27782,,Win,8,1.0
2019-01-29 10:00:00,Long,1.3165,1.0,Loss,8,
2019-03-05 10:00:00,Long,1.31811,1.0,Loss,8,
2019-03-12 10:00:00,Short,1.32219,,Win,8,1.0
2019-03-19 10:00:00,Long,1.32619,1.0,Win,8,
2019-03-26 10:00:00,Short,1.31871,,Loss,8,1.0
2019-04-09 11:00:00,Short,1.30682,,Win,8,1.0
2019-04-30 11:00:00,Short,1.2952,,Loss,8,1.0
2019-05-28 11:00:00,Long,1.26649,1.0,Win,8,
2019-06-04 11:00:00,Short,1.26571,,Loss,8,1.0
2019-06-11 11:00:00,Long,1.26971,1.0,Win,8,
2019-07-16 11:00:00,Long,1.24688,1.0,Loss,8,
2019-08-06 11:00:00,Short,1.21829,,Win,8,1.0
2019-08-13 11:00:00,Short,1.20626,,Loss,8,1.0
2019-08-20 11:00:00,Long,1.20921,1.0,Win,8,
2019-08-27 11:00:00,Long,1.22499,1.0,Win,8,
2019-09-17 11:00:00,Long,1.23973,1.0,Win,8,
2019-10-08 11:00:00,Long,1.22864,1.0,Loss,8,
2019-11-05 10:00:00,Long,1.28843,1.0,Loss,8,
2019-11-12 10:00:00,Short,1.28228,,Loss,8,1.0
2019-11-26 10:00:00,Short,1.28753,,Win,8,1.0
2019-12-10 10:00:00,Long,1.31606,1.0,Win,8,
2019-12-17 10:00:00,Long,1.32005,1.0,Loss,8,
2020-01-07 10:00:00,Short,1.31879,,Win,8,1.0
2020-01-21 10:00:00,Short,1.30124,,Loss,8,1.0
2020-01-28 10:00:00,Long,1.30072,1.0,Loss,8,
2020-02-04 10:00:00,Long,1.29869,1.0,Win,8,
2020-02-11 10:00:00,Short,1.29027,,Loss,8,1.0
2020-02-18 10:00:00,Long,1.29779,1.0,Win,8,
2020-02-25 10:00:00,Short,1.29769,,Loss,8,1.0
2020-03-10 10:00:00,Long,1.30587,1.0,Loss,8,
2020-03-31 11:00:00,Long,1.23164,1.0,Win,8,
2020-04-07 11:00:00,Short,1.23393,,Loss,8,1.0
2020-05-05 11:00:00,Long,1.24606,1.0,Loss,8,
2020-05-19 11:00:00,Short,1.22478,,Loss,8,1.0
2020-06-16 11:00:00,Short,1.26214,,Win,8,1.0
2020-06-23 11:00:00,Short,1.2497,,Loss,8,1.0
2020-07-07 11:00:00,Long,1.24884,1.0,Win,8,
2020-07-14 11:00:00,Long,1.25206,1.0,Win,8,
2020-07-21 11:00:00,Short,1.26736,,Loss,8,1.0
2020-08-11 11:00:00,Short,1.30824,,Win,8,1.0
2020-09-15 11:00:00,Short,1.28761,,Win,8,1.0
2020-09-22 11:00:00,Long,1.27558,1.0,Loss,8,
