Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Election_Vol_Crush_Short,Outcome,Entry,SL,TP
2001-06-07 03:00:00,0.0,1.3881,Yes,Long,1,Win,1.3881,1.3861,1.3921
2005-05-05 03:00:00,25.0,1.9012,Yes,Long,1,Win,1.9012,1.8992,1.9052
2010-05-06 05:00:00,0.0,1.5119,Yes,Long,1,Loss,1.5119,1.5099,1.5159
2010-05-06 09:00:00,0.0,1.5104,Yes,Long,1,Loss,1.5104,1.5084,1.5144
2015-05-07 03:00:00,51.5,1.52397,Yes,Long,1,Loss,1.52397,1.52197,1.52797
2015-05-07 10:00:00,50.8,1.52001,Yes,Long,1,Loss,1.52001,1.51801,1.52401
2016-06-24 03:00:00,83.8,1.45589,Yes,Long,1,Loss,1.45589,1.45389,1.45989
2016-06-24 04:00:00,83.8,1.45238,Yes,Long,1,Loss,1.45238,1.45038,1.45638
2017-06-08 04:00:00,55.5,1.29608,Yes,Long,1,Loss,1.29608,1.29408,1.30008
2017-06-08 13:00:00,66.6,1.29427,Yes,Long,1,Loss,1.29427,1.29227,1.29827
2017-11-02 05:00:00,30.8,1.32823,Yes,Long,1,Loss,1.32823,1.32623,1.33223
2017-11-02 10:00:00,58.2,1.32621,Yes,Long,1,Loss,1.32621,1.32421,1.33021
2018-08-02 03:00:00,34.5,1.31243,Yes,Long,1,Loss,1.31243,1.31043,1.31643
2018-08-02 07:00:00,33.3,1.31037,Yes,Long,1,Loss,1.31037,1.30837,1.31437
2019-12-12 04:00:00,92.3,1.32248,Yes,Long,1,Loss,1.32248,1.32048,1.32648
2019-12-12 10:00:00,92.7,1.32083,Yes,Long,1,Loss,1.32083,1.31883,1.32483
2021-12-16 02:00:00,50.0,1.3255,Yes,Long,1,Win,1.3255,1.3235,1.3295
2024-07-04 06:00:00,25.5,1.27458,Yes,Long,1,Win,1.27458,1.27258,1.27858
