Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Macro_CPI_Div_Long,Outcome,Entry,SL,TP
2004-05-14 14:00:00,50.0,1.75,Yes,Long,1,Win,1.75,1.748,1.754
2006-10-18 14:00:00,25.0,1.8717,Yes,Long,1,Loss,1.8717,1.8697,1.8757
2006-10-18 17:00:00,25.0,1.8691,Yes,Long,1,Loss,1.8691,1.8671,1.8731
2010-02-16 15:00:00,50.0,1.5673,Yes,Long,1,Loss,1.5673,1.5653,1.5713
2010-02-16 17:00:00,50.0,1.5674,Yes,Long,1,Win,1.5674,1.5654,1.5714
2010-02-19 14:00:00,50.6,1.5395,Yes,Long,1,Win,1.5395,1.5375,1.5435
2011-10-18 14:00:00,93.7,1.5737,Yes,Long,1,Loss,1.5737,1.5717,1.5777
2011-10-18 16:00:00,93.4,1.5723,Yes,Long,1,Loss,1.5723,1.5703,1.5763
2013-08-15 15:00:00,56.1,1.55851,Yes,Long,1,Loss,1.55851,1.55651,1.56251
2013-08-15 17:00:00,56.1,1.55424,Yes,Long,1,Loss,1.55424,1.55224,1.55824
2015-01-16 15:00:00,25.0,1.5182,Yes,Long,1,Loss,1.5182,1.5162,1.5222
2015-01-16 18:00:00,25.0,1.513,Yes,Long,1,Win,1.513,1.511,1.517
2017-02-15 16:00:00,25.0,1.24141,Yes,Long,1,Win,1.24141,1.23941,1.24541
2018-02-14 14:00:00,25.0,1.38636,Yes,Long,1,Loss,1.38636,1.38436,1.39036
2018-02-14 16:00:00,25.0,1.38362,Yes,Long,1,Win,1.38362,1.38162,1.38762
2018-08-10 15:00:00,0.0,1.27782,Yes,Long,1,Loss,1.27782,1.27582,1.28182
2018-08-10 18:00:00,0.0,1.27751,Yes,Long,1,Loss,1.27751,1.27551,1.28151
2019-10-10 16:00:00,0.0,1.22323,Yes,Long,1,Win,1.22323,1.22123,1.22723
2020-03-11 14:00:00,69.1,1.29395,Yes,Long,1,Loss,1.29395,1.29195,1.29795
2020-03-11 15:00:00,69.1,1.29413,Yes,Long,1,Loss,1.29413,1.29213,1.29813
2021-08-18 14:00:00,25.0,1.37522,Yes,Long,1,Loss,1.37522,1.37322,1.37922
2021-09-14 14:00:00,7.7,1.3868,Yes,Long,1,Win,1.3868,1.3848,1.3908
2021-11-10 16:00:00,25.0,1.35212,Yes,Long,1,Loss,1.35212,1.35012,1.35612
2022-01-12 14:00:00,87.1,1.36366,Yes,Long,1,Win,1.36366,1.36166,1.36766
2022-03-09 15:00:00,0.0,1.3161,Yes,Long,1,Loss,1.3161,1.3141,1.3201
2022-08-10 14:00:00,0.0,1.20955,Yes,Long,1,Win,1.20955,1.20755,1.21355
2022-08-17 17:00:00,0.0,1.2066,Yes,Long,1,Loss,1.2066,1.2046,1.2106
2022-10-19 18:00:00,33.6,1.12576,Yes,Long,1,Loss,1.12576,1.12376,1.12976
2022-11-10 14:00:00,0.0,1.13918,Yes,Long,1,Win,1.13918,1.13718,1.14318
2022-11-16 14:00:00,90.4,1.19139,Yes,Long,1,Loss,1.19139,1.18939,1.19539
2022-11-16 17:00:00,90.4,1.1891,Yes,Long,1,Loss,1.1891,1.1871,1.1931
2022-12-13 14:00:00,42.6,1.23009,Yes,Long,1,Loss,1.23009,1.22809,1.23409
2022-12-13 15:00:00,42.6,1.24099,Yes,Long,1,Loss,1.24099,1.23899,1.24499
2023-03-15 14:00:00,35.3,1.20788,Yes,Long,1,Loss,1.20788,1.20588,1.21188
2023-03-15 16:00:00,35.3,1.20651,Yes,Long,1,Loss,1.20651,1.20451,1.21051
2023-03-22 14:00:00,86.0,1.22697,Yes,Long,1,Loss,1.22697,1.22497,1.23097
2023-03-22 18:00:00,85.9,1.22417,Yes,Long,1,Win,1.22417,1.22217,1.22817
2023-04-19 14:00:00,25.0,1.24142,Yes,Long,1,Win,1.24142,1.23942,1.24542
2023-05-24 16:00:00,0.0,1.24019,Yes,Long,1,Loss,1.24019,1.23819,1.24419
2023-06-13 15:00:00,45.1,1.25716,Yes,Long,1,Win,1.25716,1.25516,1.26116
2023-06-21 15:00:00,41.7,1.2728,Yes,Long,1,Loss,1.2728,1.2708,1.2768
2023-06-21 18:00:00,41.7,1.27295,Yes,Long,1,Win,1.27295,1.27095,1.27695
2023-07-12 16:00:00,92.3,1.29476,Yes,Long,1,Win,1.29476,1.29276,1.29876
2023-08-10 14:00:00,0.0,1.27702,Yes,Long,1,Win,1.27702,1.27502,1.28102
2023-11-14 14:00:00,3.5,1.22931,Yes,Long,1,Win,1.22931,1.22731,1.23331
2023-12-12 17:00:00,25.0,1.25599,Yes,Long,1,Loss,1.25599,1.25399,1.25999
2023-12-20 15:00:00,52.4,1.2661,Yes,Long,1,Loss,1.2661,1.2641,1.2701
2024-06-12 14:00:00,50.9,1.27611,Yes,Long,1,Win,1.27611,1.27411,1.28011
2024-10-10 14:00:00,25.0,1.30915,Yes,Long,1,Loss,1.30915,1.30715,1.31315
2024-10-10 16:00:00,25.0,1.30755,Yes,Long,1,Loss,1.30755,1.30555,1.31155
2025-01-15 15:00:00,25.0,1.22975,Yes,Long,1,Loss,1.22975,1.22775,1.23375
2025-04-10 14:00:00,50.0,1.2913,Yes,Long,1,Win,1.2913,1.2893,1.2953
2025-12-17 14:00:00,43.6,1.33442,Yes,Long,1,Win,1.33442,1.33242,1.33842
2026-02-13 14:00:00,0.0,1.36071,Yes,Long,1,Win,1.36071,1.35871,1.36471
