Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Unemp_Fakeout_Long,Outcome,Entry,SL,TP
2001-03-09 15:00:00,29.9,1.4646,Yes,Long,1,Win,1.4646,1.4626,1.4686
2008-05-02 15:00:00,50.0,1.9858,Yes,Long,1,Loss,1.9858,1.9838,1.9898
2008-05-02 16:00:00,50.0,1.9815,Yes,Long,1,Loss,1.9815,1.9795,1.9855
2008-11-07 15:00:00,0.1,1.5802,Yes,Long,1,Loss,1.5802,1.5782,1.5842
2008-11-07 16:00:00,0.1,1.5735,Yes,Long,1,Win,1.5735,1.5715,1.5775
2012-06-01 15:00:00,0.0,1.53112,Yes,Long,1,Loss,1.53112,1.52912,1.53512
2017-09-01 17:00:00,41.4,1.29573,Yes,Long,1,Loss,1.29573,1.29373,1.29973
2018-06-01 15:00:00,25.0,1.33196,Yes,Long,1,Loss,1.33196,1.32996,1.33596
2018-06-01 16:00:00,25.0,1.33137,Yes,Long,1,Win,1.33137,1.32937,1.33537
2023-09-01 15:00:00,50.0,1.26703,Yes,Long,1,Win,1.26703,1.26503,1.27103
2024-05-03 15:00:00,59.2,1.25548,Yes,Long,1,Win,1.25548,1.25348,1.25948
2024-10-04 16:00:00,0.0,1.30786,Yes,Long,1,Win,1.30786,1.30586,1.31186
2025-02-07 15:00:00,25.0,1.243,Yes,Long,1,Loss,1.243,1.241,1.247
2025-02-07 17:00:00,25.0,1.24239,Yes,Long,1,Loss,1.24239,1.24039,1.24639
2025-07-04 16:00:00,44.3,1.36352,Yes,Long,1,Loss,1.36352,1.36152,1.36752
2026-01-09 16:00:00,0.0,1.34116,Yes,Long,1,Loss,1.34116,1.33916,1.34516
