Datetime_Kyiv,Direction,Entry_Price,Gap_Up_Fade_Short,Outcome,Hold_Bars,Gap_Down_Fade_Long
2018-01-22 00:00:00,Short,1.38876,1.0,Win,8,
2018-09-03 01:00:00,Long,1.292,,Win,8,1.0
2018-10-15 01:00:00,Long,1.30985,,Win,8,1.0
2018-11-05 00:00:00,Short,1.30072,1.0,Win,8,
2018-11-12 00:00:00,Long,1.29234,,Loss,8,1.0
2019-03-04 00:00:00,Short,1.32322,1.0,Win,8,
2020-03-16 00:00:00,Short,1.24014,1.0,Win,8,
2020-03-23 00:00:00,Short,1.15439,1.0,Loss,8,
2020-12-14 00:00:00,Short,1.33255,1.0,Loss,8,
2020-12-21 00:00:00,Long,1.34304,,Loss,8,1.0
2022-02-28 00:00:00,Long,1.3337,,Win,8,1.0
2022-09-12 01:00:00,Short,1.16309,1.0,Win,8,
2022-09-26 01:00:00,Long,1.08182,,Loss,8,1.0
2022-10-17 01:00:00,Short,1.12163,1.0,Loss,8,
2022-10-24 01:00:00,Short,1.13911,1.0,Win,8,
2022-11-07 00:00:00,Long,1.13162,,Win,8,1.0
2023-03-13 00:00:00,Short,1.20823,1.0,Loss,8,
2024-11-04 00:00:00,Short,1.29631,1.0,Loss,8,
2024-11-25 00:00:00,Short,1.25852,1.0,Loss,8,
2025-02-03 00:00:00,Long,1.23019,,Loss,8,1.0
2025-04-07 01:00:00,Long,1.28375,,Win,8,1.0
