Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,First_1W_Rej_Short,Outcome,Entry,SL,TP,First_1W_Rej_Long
2000-06-05 10:00:00,50.0,1.5085,Yes,Short,1.0,Loss,1.5085,1.5105,1.5045,
2000-06-07 13:00:00,50.0,1.525,Yes,Short,1.0,Win,1.525,1.527,1.521,
2000-06-08 11:00:00,25.0,1.5167,Yes,Short,1.0,Loss,1.5167,1.5187,1.5127,
2000-06-14 19:00:00,29.5,1.5025,Yes,Long,,Loss,1.5025,1.5005,1.5065,1.0
2000-06-15 13:00:00,0.0,1.509,Yes,Long,,Loss,1.509,1.507,1.513,1.0
2000-06-19 13:00:00,50.0,1.5138,Yes,Short,1.0,Loss,1.5138,1.5158,1.5098,
2000-06-22 12:00:00,25.0,1.5029,Yes,Long,,Win,1.5029,1.5009,1.5069,1.0
2000-06-27 15:00:00,0.0,1.4974,Yes,Long,,Loss,1.4974,1.4954,1.5014,1.0
2000-06-29 16:00:00,50.0,1.5174,Yes,Short,1.0,Loss,1.5174,1.5194,1.5134,
2000-06-30 13:00:00,50.0,1.511,Yes,Short,1.0,Loss,1.511,1.513,1.507,
2000-07-10 14:00:00,32.4,1.5158,Yes,Short,1.0,Win,1.5158,1.5178,1.5118,
2000-07-12 20:00:00,50.0,1.5072,Yes,Short,1.0,Loss,1.5072,1.5092,1.5032,
2000-07-13 16:00:00,25.0,1.5044,Yes,Long,,Loss,1.5044,1.5024,1.5084,1.0
2000-07-14 16:00:00,0.0,1.5002,Yes,Long,,Loss,1.5002,1.4982,1.5042,1.0
2000-07-17 12:00:00,0.0,1.4971,Yes,Long,,Loss,1.4971,1.4951,1.5011,1.0
2000-07-18 13:00:00,0.0,1.494,Yes,Long,,Win,1.494,1.492,1.498,1.0
2000-07-19 14:00:00,25.0,1.4969,Yes,Long,,Loss,1.4969,1.4949,1.5009,1.0
2000-07-20 15:00:00,25.0,1.4951,Yes,Long,,Win,1.4951,1.4931,1.4991,1.0
2000-07-21 14:00:00,25.0,1.5135,Yes,Short,1.0,Loss,1.5135,1.5155,1.5095,
2000-07-24 12:00:00,50.0,1.5187,Yes,Short,1.0,Loss,1.5187,1.5207,1.5147,
2000-07-25 21:00:00,55.8,1.5186,Yes,Short,1.0,Loss,1.5186,1.5206,1.5146,
2000-07-26 15:00:00,73.8,1.5173,Yes,Short,1.0,Loss,1.5173,1.5193,1.5133,
2000-07-31 20:00:00,12.1,1.4989,Yes,Long,,Loss,1.4989,1.4969,1.5029,1.0
2000-08-01 13:00:00,1.7,1.5011,Yes,Long,,Loss,1.5011,1.4991,1.5051,1.0
2000-08-02 16:00:00,25.0,1.4887,Yes,Long,,Win,1.4887,1.4867,1.4927,1.0
2000-08-03 16:00:00,25.0,1.4919,Yes,Long,,Win,1.4919,1.4899,1.4959,1.0
2000-08-04 13:00:00,0.0,1.4978,Yes,Long,,Win,1.4978,1.4958,1.5018,1.0
2000-08-07 15:00:00,50.0,1.5067,Yes,Short,1.0,Loss,1.5067,1.5087,1.5027,
2000-08-08 11:00:00,50.0,1.5094,Yes,Short,1.0,Win,1.5094,1.5114,1.5054,
2000-08-11 16:00:00,4.6,1.507,Yes,Short,1.0,Win,1.507,1.509,1.503,
2000-08-15 14:00:00,37.3,1.505,Yes,Short,1.0,Loss,1.505,1.507,1.501,
2000-08-17 21:00:00,0.0,1.4985,Yes,Long,,Loss,1.4985,1.4965,1.5025,1.0
2000-08-18 12:00:00,0.0,1.497,Yes,Long,,Loss,1.497,1.495,1.501,1.0
2000-08-21 13:00:00,0.0,1.4908,Yes,Long,,Loss,1.4908,1.4888,1.4948,1.0
2000-08-22 16:00:00,0.0,1.4851,Yes,Long,,Loss,1.4851,1.4831,1.4891,1.0
2000-08-23 12:00:00,0.0,1.4787,Yes,Long,,Win,1.4787,1.4767,1.4827,1.0
2000-08-24 16:00:00,0.0,1.4825,Yes,Long,,Loss,1.4825,1.4805,1.4865,1.0
2000-08-25 12:00:00,25.0,1.4785,Yes,Long,,Loss,1.4785,1.4765,1.4825,1.0
2000-08-28 11:00:00,0.0,1.4732,Yes,Long,,Loss,1.4732,1.4712,1.4772,1.0
2000-08-29 14:00:00,0.0,1.4637,Yes,Long,,Loss,1.4637,1.4617,1.4677,1.0
