Session_Date,Trend_Bullish_Prob_%,Asian_High,Asian_Low,LO_Sweep_Type,LO_Sweep_Time,Close_at_1800,Day_Direction,Hypothesis_Success
2015-01-09,0.0,1.51045,1.50771,Upper_Sweep,10:45:00,1.51908,Long,False
2015-01-12,0.0,1.51936,1.51603,Lower_Sweep,09:45:00,1.51662,Inside Range,False
2015-01-13,78.1,1.51913,1.51489,Lower_Sweep,09:45:00,1.51621,Inside Range,False
2015-01-14,22.1,1.51752,1.51451,Upper_Sweep,09:45:00,1.5233,Long,False
2015-01-15,11.7,1.5246,1.5222,Lower_Sweep,09:45:00,1.51797,Short,False
2015-01-16,48.8,1.51946,1.51599,Upper_Sweep,09:45:00,1.51326,Short,True
2015-01-19,25.0,1.51479,1.51143,Upper_Sweep,10:45:00,1.51038,Short,True
2015-01-20,25.0,1.51145,1.50572,Upper_Sweep,10:45:00,1.51489,Long,False
2015-01-21,0.0,1.51794,1.51352,Lower_Sweep,11:45:00,1.51417,Inside Range,False
2015-01-22,0.0,1.51584,1.51227,Upper_Sweep,11:45:00,1.50083,Short,True
2015-01-23,25.6,1.50268,1.49807,Lower_Sweep,09:45:00,1.50036,Inside Range,False
2015-01-26,25.0,1.50284,1.49865,Upper_Sweep,09:45:00,1.50821,Long,False
2015-01-27,0.0,1.51152,1.50682,Upper_Sweep,10:45:00,1.51865,Long,False
2015-01-28,54.4,1.5198,1.51542,Upper_Sweep,11:45:00,1.51463,Short,True
2015-01-29,68.6,1.51554,1.51301,Both_Swept,09:45:00,1.50703,Short,False
2015-01-30,29.6,1.50891,1.50636,Lower_Sweep,09:45:00,1.50906,Long,True
2015-02-02,0.0,1.5098,1.50699,Lower_Sweep,09:45:00,1.50243,Short,False
2015-02-03,25.0,1.50437,1.50138,Lower_Sweep,09:45:00,1.51424,Long,True
2015-02-04,0.0,1.51764,1.51388,Upper_Sweep,11:45:00,1.51806,Long,False
2015-02-05,53.5,1.52133,1.5165,Upper_Sweep,09:45:00,1.53329,Long,False
2015-02-06,93.8,1.53411,1.53183,Lower_Sweep,09:45:00,1.52343,Short,False
2015-02-09,88.9,1.52653,1.52185,Upper_Sweep,09:45:00,1.52116,Short,True
2015-02-10,0.5,1.5249,1.52116,Upper_Sweep,09:45:00,1.52545,Long,False
2015-02-11,0.0,1.52677,1.52383,Lower_Sweep,09:45:00,1.5239,Inside Range,False
2015-02-12,32.0,1.52484,1.52158,Upper_Sweep,09:45:00,1.53795,Long,False
2015-02-13,68.6,1.54189,1.53792,Lower_Sweep,10:45:00,1.54085,Inside Range,False
2015-02-16,82.7,1.54399,1.53901,Upper_Sweep,09:45:00,1.5357,Short,True
2015-02-17,78.8,1.53817,1.53499,Lower_Sweep,10:45:00,1.53455,Short,False
2015-02-18,0.0,1.53611,1.53437,Lower_Sweep,09:45:00,1.54357,Long,True
2015-02-19,25.0,1.54603,1.54336,Upper_Sweep,09:45:00,1.54148,Short,True
2015-02-20,56.7,1.54343,1.54124,Lower_Sweep,10:45:00,1.53908,Short,False
2015-02-23,8.5,1.53982,1.53685,Lower_Sweep,10:45:00,1.54544,Long,True
2015-02-24,0.0,1.54593,1.54298,Upper_Sweep,09:45:00,1.54494,Inside Range,False
2015-02-25,56.1,1.5499,1.54462,Upper_Sweep,09:45:00,1.55275,Long,False
2015-02-26,62.2,1.5552,1.55199,Lower_Sweep,10:45:00,1.54078,Short,False
2015-02-27,45.3,1.54487,1.54027,Lower_Sweep,10:45:00,1.54257,Inside Range,False
2015-03-02,25.0,1.54284,1.53921,Lower_Sweep,09:45:00,1.53573,Short,False
2015-03-03,0.0,1.53938,1.53546,Upper_Sweep,09:45:00,1.53603,Inside Range,False
2015-03-04,25.0,1.53718,1.5343,Lower_Sweep,09:45:00,1.52635,Short,False
2015-03-05,0.0,1.52687,1.52248,None,,1.52506,Inside Range,False
2015-03-06,0.0,1.52555,1.52258,Lower_Sweep,10:45:00,1.50356,Short,False
2015-03-08,0.0,1.50692,1.50307,Upper_Sweep,08:45:00,1.51282,Long,False
2015-03-09,0.0,1.513,1.50698,Lower_Sweep,10:45:00,1.50535,Short,False
2015-03-10,0.0,1.50865,1.5051,Upper_Sweep,09:45:00,1.49283,Short,True
2015-03-11,25.0,1.49454,1.49099,Upper_Sweep,08:45:00,1.48861,Short,True
2015-03-12,0.0,1.48968,1.48587,Lower_Sweep,08:45:00,1.47364,Short,False
2015-03-15,0.0,1.4772,1.47312,Upper_Sweep,08:45:00,1.48256,Long,False
2015-03-16,0.0,1.48335,1.48117,Upper_Sweep,08:45:00,1.47431,Short,True
2015-03-17,0.0,1.477,1.47373,Lower_Sweep,10:45:00,1.49574,Long,True
2015-03-18,0.0,1.50093,1.48811,Lower_Sweep,09:45:00,1.47551,Short,False
2015-03-19,25.9,1.47769,1.47368,Lower_Sweep,09:45:00,1.49722,Long,True
2015-03-22,54.3,1.49889,1.49174,Lower_Sweep,08:45:00,1.49547,Inside Range,False
2015-03-23,33.3,1.49737,1.49195,Lower_Sweep,09:45:00,1.48449,Short,False
